link	source_url	download_link	title	content_type	id	caption	description	source_section	retrieval_pattern	context_description	file_extension	pub_title	raw_data_format	file_info	section_class	a_attr_href	a_attr_class	a_attr_data-ga-action	a_attr_target	a_attr_rel
41531_2024_636_MOESM8_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM8_ESM.xlsx	No Title	local-data	MOESM8	Supplmentary Data 6	Supplmentary  Data  6	supplementary material	.//supplementary-material	"Overlapping with highly penetrant pathogenic parkinsonism genes, we identified as significantly decreased in PD (FDR = 0.015), with a similar trend reported in ICICLE-PD (FDR = 0.088) (Supplementary Data 6 [this file] ). 
These included (Supplementary Data 6 [this file] ), which encodes a peptidyl-tRNA hydrolase that has been linked to recessive parkinsonism , and genes identified by association studies ( , , , and , Fig. 2e [rid=Fig2] ) ."	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML							
41531_2024_636_MOESM9_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM9_ESM.xlsx	No Title	local-data	MOESM9	Supplmentary Data 7	Supplmentary  Data  7	supplementary material	.//supplementary-material	We observed no overrepresentation of GO terms after grouping circRNAs based on their host gene (Supplementary Data 7 [this file] ).	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML							
41531_2024_636_MOESM10_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM10_ESM.xlsx	No Title	local-data	MOESM10	Supplmentary Data 8	Supplmentary  Data  8	supplementary material	.//supplementary-material	"We identified three BSJs significantly reduced in PD patients versus controls in PPMI (log FC < −0.1/ > 0.1, FDR < 0.05) (Fig. 3a, b [rid=Fig3] and Supplementary Data 8 [this file] ). These BSJs, derived from the genes , , and were similarly decreased in ICICLE-PD but did not reach statistical significance (FDR > 0.05) (Fig. 3a, b [rid=Fig3] and Supplementary Data 8 [this file] ). 
Volcano plot of differential expression in PPMI and ICICLE-PD, highlighted (blue) are the three BSJs significantly differentially expressed in PPMI (FDR < 0.05 and log2 fold change >0.1/ < −0.1) and the corresponding results in ICICLE-PD (Supplementary Data 8 [this file] ). None reached significance in ICICLE-PD ( -values > 0.05) (Supplementary Data 8 [this file] )."	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML							
41531_2024_636_MOESM11_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM11_ESM.xlsx	No Title	local-data	MOESM11	Supplmentary Data 9	Supplmentary  Data  9	supplementary material	.//supplementary-material	"Seven circRNAs previously reported as differentially expressed in PD were sufficiently expressed in the PPMI or ICICLE-PD cohorts (Supplementary Data 9 [this file] ). Two BSJs, derived from and , showed altered expression in PPMI ( -value < 0.05) (Supplementary Data 9 [this file] ). While no BSJ reached statistical significance after multiple testing correction (FDR > 0.05), we were able to replicate the direction of change of four BSJs in PPMI and three in ICICLE-PD (Fig. 3c [rid=Fig3] and Supplementary Data 9 [this file] ). 
Graph showing the comparative log fold changes of BSJs previously reported as being differentially expressed in PD (Supplementary Data 9 [this file] ). 
We were also able to independently replicate trends in several previously reported differentially expressed circRNAs observed in PD blood and brain tissue although none reached statistical significance (Fig. 3c [rid=Fig3] , Supplementary Data 9 [this file] ). We identified altered expression of circRNAs (derived from and ), whose host genes have not been functionally linked to PD (Supplementary Data 9 [this file] )."	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML							
41531_2024_636_MOESM12_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM12_ESM.xlsx	No Title	local-data	MOESM12	Supplmentary Data 10	Supplmentary  Data  10	supplementary material	.//supplementary-material	Whilst we observed differential expression of specific BSJs, perhaps the more striking observation was an imbalance of BSJ fold changes, i.e., where the expression of the majority of BSJs tended to be reduced in PD compared to controls (PPMI imbalance = 0.09, Bonferroni -value = 9.2 × 10 , ICICLE-PD imbalance = 0.29, Bonferroni -value = 9.4 × 10 , Exact binomial test) (Fig. 4a [rid=Fig4] , Supplementary Data 10 [this file] ). To explore whether reduced expression was specific to BSJs, we also examined the expression of other RNA types (Supplementary Fig. 7 [rid=MOESM1] , Supplementary Data 10 [this file] ). Crucially, a reduction was not evident when examining the fold changes of FSJs (PPMI imbalance = 0.54, Bonferroni -value = 1.0, ICICLE-PD imbalance = 0.50, Bonferroni -value = 1.0, Exact binomial test) (Fig. 4a [rid=Fig4] , Supplementary Data 10 [this file] ). Global gene expression also showed no reduction in PPMI (imbalance = 0.49, Bonferroni -value = 1.0), yet was significantly increased in ICICLE-PD (imbalance = 0.56, Bonferroni -value = 3.6 × 10 ) (Fig. 4a [rid=Fig4] , Supplementary Data 10 [this file] ).	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML							
41531_2024_636_MOESM13_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM13_ESM.xlsx	No Title	local-data	MOESM13	Supplmentary Data 11	Supplmentary  Data  11	supplementary material	.//supplementary-material	"We explored whether differential expression of previously reported circRNA regulators may be contributing to the reduced circRNA abundances in PD (regulators and evidence are given in Supplementary Data 11 [this file] ). In PPMI, and were significantly increased in PD, with also increased in ICICLE-PD and significant after multiple testing correction (Fig. 4e [rid=Fig4] , Supplementary Data 11 [this file] ). encodes Ribonuclease L, which is known to be involved in the degradation of circRNA, subsequently allowing the activation of PKR as part of the integrated stress response . 
CircRNA expression is influenced by trans-acting proteins, including Ribonuclease L (RNase L, encoded by ) and adenosine deaminase RNA specific (ADAR, encoded by ), an enzyme responsible for A-I RNA editing that can modulate the base-pairing of reverse complementary matches in the flanking introns of circRNAs, influencing their biogenesis . was significantly increased in PPMI PD cases and showed a similar trend in ICICLE-PD (Supplementary Data 11 [this file] )."	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML							
NIHPP2025.06.17.25329345v1-supplement-1.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204281/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12204281/bin/NIHPP2025.06.17.25329345v1-supplement-1.pdf	No Title	local-data	SD1	No description	Supplement  1	supplementary material	.//supplementary-material	"To select brain samples with Braak stages 0–2, we applied the k-means clustering algorithm (with k = 3) to the estimated cell-type proportions for the BDR brain samples from Shireby et al. (2022) ( Supplementary Figure 1 [this file] ). 
The comparison of aging-associated CpGs and DMRs with AD Braak stage-associated DNAm in the matched analysis revealed a consistent pattern - all the DNAm differences significantly associated with both age (at death) and AD Braak stage showed concordant effect sizes in the same direction ( Supplementary Figure 2 [this file] , Supplementary Table 13 – 14)."	pdf	From aging to Alzheimer’s disease: concordant brain DNA methylation changes in late life	XML							
ALZ-21-e14501-s003.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11815327/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11815327/bin/ALZ-21-e14501-s003.pdf	No Title	local-data	alz14501-supitem-0001	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material		pdf	A brain DNA co‐methylation network analysis of psychosis in Alzheimer's disease	XML							
ALZ-21-e14501-s002.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11815327/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11815327/bin/ALZ-21-e14501-s002.xlsx	No Title	local-data	alz14501-supitem-0002	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material		xlsx	A brain DNA co‐methylation network analysis of psychosis in Alzheimer's disease	XML							
ALZ-21-e14501-s001.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11815327/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11815327/bin/ALZ-21-e14501-s001.pdf	No Title	local-data	alz14501-supitem-0003	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material		pdf	A brain DNA co‐methylation network analysis of psychosis in Alzheimer's disease	XML							
KEPI_A_2392050_SM6885.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11346548/bin/KEPI_A_2392050_SM6885.docx	-) tables supplementray 0724.docx	local-data	SM6885	No description	-)  tables  supplementray  0724.docx	supplementary material	.//supplementary-material		docx	Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	XML							
KEPI_A_2392050_SM6884.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346548/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11346548/bin/KEPI_A_2392050_SM6884.docx	figure_suppl.docx	local-data	SM6884	No description	figure_suppl.docx	supplementary material	.//supplementary-material		docx	Genetic architecture of epigenetic cortical clock age in brain tissue from older individuals: alterations in	XML							
GPS-39-0-s005.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10952166/bin/GPS-39-0-s005.docx	No Title	local-data	gps6041-sup-0001	Supporting Information S1	Supporting  Information  S1	supplementary material	.//supplementary-material	The effect of age in the secondary and primary analyses is shown in supplementary Figures S1 [this file] and S2 [rid=gps6041-sup-0002] .	docx	The risk of developing dementia in the COVID‐19 pandemic; a cohort study	XML							
GPS-39-0-s006.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10952166/bin/GPS-39-0-s006.pdf	No Title	local-data	gps6041-sup-0002	Figure S1	Figure  S1	supplementary material	.//supplementary-material	The effect of age in the secondary and primary analyses is shown in supplementary Figures S1 [rid=gps6041-sup-0001] and S2 [this file] .	pdf	The risk of developing dementia in the COVID‐19 pandemic; a cohort study	XML							
GPS-39-0-s007.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10952166/bin/GPS-39-0-s007.pdf	No Title	local-data	gps6041-sup-0003	Figure S2	Figure  S2	supplementary material	.//supplementary-material	"For details see Supporting Information S1 [this file] . 
To best account for it we adjusted for the person's age at the interval's mid‐point, added to the model as a cubic spline with five knots positioned at the recommended percentiles.[rid=gps6041-bib-0029] See Supporting Information S1 [this file] for risk factor adjustments. 
To investigate the effect of MCI on dementia incidence before and after lockdown, a binary term indicating whether the person had MCI at the beginning of the interval was added and allowed to interact with the exposure (Supporting Information S1 [this file] for more detail)."	pdf	The risk of developing dementia in the COVID‐19 pandemic; a cohort study	XML							
GPS-39-0-s004.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10952166/bin/GPS-39-0-s004.pdf	No Title	local-data	gps6041-sup-0004	Table S1	Table  S1	supplementary material	.//supplementary-material	For details on the BDR cohort including entry and exclusion criteria see supplementary Table S1 [this file] .[rid=gps6041-bib-0024] Visits are conducted by a trained nurse or psychologist[rid=gps6041-bib-0025] using standardised data collection proformas.	pdf	The risk of developing dementia in the COVID‐19 pandemic; a cohort study	XML							
GPS-39-0-s001.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10952166/bin/GPS-39-0-s001.pdf	No Title	local-data	gps6041-sup-0005	Table S2	Table  S2	supplementary material	.//supplementary-material	Cognitive status was classified at visits by the assessing nurse or psychologist using the Clinical Dementia Rating (CDR) global score, developed to measure the severity of dementia (supplementary Table S2 [this file] ).[rid=gps6041-bib-0024] For the purposes of our analysis, we defined normal cognition as 0, MCI as 0.5 and dementia as 1–3.	pdf	The risk of developing dementia in the COVID‐19 pandemic; a cohort study	XML							
GPS-39-0-s003.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10952166/bin/GPS-39-0-s003.pdf	No Title	local-data	gps6041-sup-0006	Table S3	Table  S3	supplementary material	.//supplementary-material	The independent effect of the risk of the covariates in our analysis is shown in supplementary Table S3 [this file] .	pdf	The risk of developing dementia in the COVID‐19 pandemic; a cohort study	XML							
GPS-39-0-s002.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952166/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10952166/bin/GPS-39-0-s002.pdf	No Title	local-data	gps6041-sup-0007	Table S4	Table  S4	supplementary material	.//supplementary-material	Due to missing data, it was not possible to define dementia using either the Mini Mental State Examination (MMSE) or Montreal Cognitive Assessment (MoCA) see supplementary Table S4 [this file] .	pdf	The risk of developing dementia in the COVID‐19 pandemic; a cohort study	XML							
ijms-24-12799-s001.zip	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10454324/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10454324/bin/ijms-24-12799-s001.zip	No Title	local-data	ijms-24-12799-s001	Click here for additional data file.	Click  here  for  additional  data  file.	supplementary material	.//supplementary-material		zip	Evaluating the Classification Accuracy of Expression Quantitative Trait Loci Calculated Polygenic Risk Scores in Alzheimer’s Disease	XML							
