model_name	version	mention_type	url	context_from_paper	source_url
MULTIRF		created	https://github.com/novawz/multiRF	The MULTIRF R package is available at https://github.com/novawz/multiRF	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13320980/
multiRF-cluster		created	https://github.com/TransBioInfoLab/multiRF-cluster	Analysis scripts to reproduce all results in this paper are available at https://github.com/novawz/multiRF https://github.com/TransBioInfoLab/multiRF-cluster	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13320980/
PLINK 2		used		We used publicly available software for all analyses in this study. This included PLINK 2, BOLT-LMM (v.2.5), Regenie, and GWAMA (v.1.2.6), perform sex-stratified GWAS	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
BOLT-LMM	v.2.5	used		This included PLINK 2, BOLT-LMM (v.2.5), Regenie, and GWAMA (v.1.2.6), perform sex-stratified GWAS	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
Regenie		used		This included PLINK 2, BOLT-LMM (v.2.5), Regenie, and GWAMA (v.1.2.6), perform sex-stratified GWAS	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
GWAMA	v.1.2.6	used		This included PLINK 2, BOLT-LMM (v.2.5), Regenie, and GWAMA (v.1.2.6), perform sex-stratified GWAS	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
LDSC	v.2.0.0	used		LDSC (v.2.0.0) to format summary statistics	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
FUSION		used		and FUSION for PWAS	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
VEP	release 114	used		Variant annotation was performed using VEP release 114	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
SMR	v.1.4.0	used		SMR (v.1.4.0) was used to perform SMR and HEIDI analyses	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
coloc	v.4.2.1	used		and coloc (v.4.2.1) R package to perform colocalization	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
locuszoomr	v.0.3.8	used		locuszoomr (v.0.3.8), locuscomparer (v.1.0.0), and ggplot2 (v.3.5.2) were used to create locus zoom, locus compare, and multi-tag locus plots	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
locuscomparer	v.1.0.0	used		locuszoomr (v.0.3.8), locuscomparer (v.1.0.0), and ggplot2 (v.3.5.2) were used to create locus zoom, locus compare, and multi-tag locus plots	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
ggplot2	v.3.5.2	used		locuszoomr (v.0.3.8), locuscomparer (v.1.0.0), and ggplot2 (v.3.5.2) were used to create locus zoom, locus compare, and multi-tag locus plots	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
clusterProfiler	v.4.12.6	used		Enrichment analyses and associated figure generation was performed using clusterProfiler (v.4.12.6), org.Hs.eg.db (v.3.21.0), simplifyEnrichment (v.1.14.1), HGNChelper (v.0.8.14), and ComplexHeatmap (v.2.20.0) R packages	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
org.Hs.eg.db	v.3.21.0	used		Enrichment analyses and associated figure generation was performed using clusterProfiler (v.4.12.6), org.Hs.eg.db (v.3.21.0), simplifyEnrichment (v.1.14.1), HGNChelper (v.0.8.14), and ComplexHeatmap (v.2.20.0) R packages	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
simplifyEnrichment	v.1.14.1	used		Enrichment analyses and associated figure generation was performed using clusterProfiler (v.4.12.6), org.Hs.eg.db (v.3.21.0), simplifyEnrichment (v.1.14.1), HGNChelper (v.0.8.14), and ComplexHeatmap (v.2.20.0) R packages	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
HGNChelper	v.0.8.14	used		Enrichment analyses and associated figure generation was performed using clusterProfiler (v.4.12.6), org.Hs.eg.db (v.3.21.0), simplifyEnrichment (v.1.14.1), HGNChelper (v.0.8.14), and ComplexHeatmap (v.2.20.0) R packages	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
ComplexHeatmap	v.2.20.0	used		Enrichment analyses and associated figure generation was performed using clusterProfiler (v.4.12.6), org.Hs.eg.db (v.3.21.0), simplifyEnrichment (v.1.14.1), HGNChelper (v.0.8.14), and ComplexHeatmap (v.2.20.0) R packages	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
cowplot	v.1.2.0	used		Other figures utilized cowplot (v.1.2.0), scales (v.1.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12636628/
Enformer	1	used	https://tfhub.dev/deepmind/enformer/1	We load the Enformer model from https://tfhub.dev/deepmind/enformer/1 and use model.predict_on_batch to make predictions.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13345963/
RobustRankAggreg	1.2	used		The Python implementations of the Stuart rank aggregation and RRA algorithms were adapted from the RobustRankAggreg R package (version 1.2; Kolde & Laur)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13155123/
lme4	1.1.27.1	used		To measure the effects of age on gene expression in the brain, we used a mixed-effects model as implemented in lme4 version 1.1.27.1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
fgsea	1.14.0	used		"To perform Gene Set Enrichment Analysis, we used the R package ""fgsea"" version 1.14.0 using the Reactome 2022 library from Enrichr as the reference set of pathways."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
Seurat	4.0.4	used		we applied Seurat version 4.0.4's implementations for log-normalizing the data, detecting highly variable features, and standard scaling the data.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
Harmony	0.1	used		After applying PCA, we used Harmony version 0.1 to correct for the effects of sex, individual, sequencing batch and post-mortem interval in our data.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
Scrublet		used		We further applied Scrublet to predict and remove doublet cells from the population as implemented in Scanpy version 1.8.2.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
Scanpy	1.8.2	used		We further applied Scrublet to predict and remove doublet cells from the population as implemented in Scanpy version 1.8.2.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
MAST		used		We subsequently applied MAST as implemented in Seurat to determine the differentially expressed genes between Alzheimer's disease-enriched clusters and the remaining sub-clusters within a given cell type.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
gProfiler		used		We used gProfiler with the g_SCS multiple hypothesis correction to identify significant gene ontology terms using Drosophila pathways as a reference.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
PiuMet		used		We used PiuMet to map unannotated m/z peaks in the metabolomic data to known compounds.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
TopHat	2.0	used		The RNA-sequencing data was aligned to the human genome reference sequence hg19 using TopHat v2.0 and Cufflinks v1.3.0.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
Cufflinks	1.3.0	used		The RNA-sequencing data was aligned to the human genome reference sequence hg19 using TopHat v2.0 and Cufflinks v1.3.0.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
FASTQC		used		To measure RNA-sequencing quality control, we used FASTQC and RNA-SeQC.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
RNA-SeQC		used		To measure RNA-sequencing quality control, we used FASTQC and RNA-SeQC.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
PLINK2	1.9beta	used		We applied PLINK2 (v1.9beta) and in house scripts to perform rigorous subject and SNP quality control (QC) for each dataset	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
EIGENSOFT		used		population substructure was tested by performing principal component analysis (PCA) using smartPCA in EIGENSOFT.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
Eagle	2.3	used		Eagle v2.3 and Minimac3 were selected for phasing and imputing respectively	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
Minimac3		used		Eagle v2.3 and Minimac3 were selected for phasing and imputing respectively	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
Matrix EQTL		used		The eQTL mapping was conducted using R Package Matrix EQTL using the additive linear model on a high-performance Linux-based Orchestra cluster at Harvard Medical School.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
METASOFT		used		We performed meta eQTL analysis using three separate effects model implemented in METASOFT	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
FIMO		used		we extracted the sequence 50 base pairs upstream and 50 base pairs downstream of the variant and used FIMO to detect the presence of an overlapping DNA-binding motif.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
GSVA	1.42.0	used		we applied GSVA version 1.42.0 to the CPM-normalized temporal cortex pyramidal neuron RNA-seq to identify the REACTOME pathway enrichments per-sample.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
OmicsIntegrator	2.3.10	used	https://github.com/fraenkel-lab/OmicsIntegrator2	we utilized the Prize-Collecting Steiner Forest algorithm (PCSF) as implemented in OmicsIntegrator 2 (O	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980014/
GET		used	https://huggingface.co/spaces/get-foundation/getdemo	The transcription factor binding site on the target gene in excitatory neuron was identified by GET 67 , an interpretable foundation model designed to uncover regulatory grammars across 213 human fetal and adult cell types ( https://huggingface.co/spaces/get-foundation/getdemo ).	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12267417/
Uni-Mol	unimolv2	used	https://github.com/deepmodeling/Uni-Mol	"Pretrained transformers Uni-Mol 60 , ChemBERTa 61 , and MolT5 62 were used for drug embeddings. For internal validation, we followed the RCL work for dividing training set and test set, where all drugs in the test set were unseen during training. For external validation, we used the same training set and test set as shown in Figure 1B . Code implementation: Uni-Mol (default 768 dimensional embeddings, https://github.com/deepmodeling/Uni-Mol ). ""UniMolRepr"" function was used for generating representations. Hyperparameters: 'data_type': 'molecule', 'remove_hs': False, 'model_name': 'unimolv2', 'model_size': '84m'."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13041732/
ChemBERTa	ChemBERTa-zinc-base-v1	used	https://huggingface.co/seyonec/ChemBERTa-zinc-base-v1	"Pretrained transformers Uni-Mol 60 , ChemBERTa 61 , and MolT5 62 were used for drug embeddings. For internal validation, we followed the RCL work for dividing training set and test set, where all drugs in the test set were unseen during training. For external validation, we used the same training set and test set as shown in Figure 1B . Code implementation: Uni-Mol (default 768 dimensional embeddings, https://github.com/deepmodeling/Uni-Mol ). ""UniMolRepr"" function was used for generating representations. Hyperparameters: 'data_type': 'molecule', 'remove_hs': False, 'model_name': 'unimolv2', 'model_size': '84m'. ChemBERTa (default 768 dimensional embeddings): Pretrained ChemBERTa tokenizer and model were downloaded from: https://huggingface.co/seyonec/ChemBERTa-zinc-base-v1 .""RobertaTokenizer"" and ""RobertaModel"" functions were used for generating representations with default built-in hyperparameters."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13041732/
MolT5	molt5-small	used	https://huggingface.co/laituan245/molt5-small	"Pretrained transformers Uni-Mol 60 , ChemBERTa 61 , and MolT5 62 were used for drug embeddings. For internal validation, we followed the RCL work for dividing training set and test set, where all drugs in the test set were unseen during training. For external validation, we used the same training set and test set as shown in Figure 1B . Code implementation: Uni-Mol (default 768 dimensional embeddings, https://github.com/deepmodeling/Uni-Mol ). ""UniMolRepr"" function was used for generating representations. Hyperparameters: 'data_type': 'molecule', 'remove_hs': False, 'model_name': 'unimolv2', 'model_size': '84m'. ChemBERTa (default 768 dimensional embeddings): Pretrained ChemBERTa tokenizer and model were downloaded from: https://huggingface.co/seyonec/ChemBERTa-zinc-base-v1 .""RobertaTokenizer"" and ""RobertaModel"" functions were used for generating representations with default built-in hyperparameters. MolT5 (default 512 dimensional embeddings): Pretrained MolT5 tokenizer and model were downloaded from: https://huggingface.co/laituan245/molt5-small . ""T5Tokenizer"" and ""T5EncoderModel"" functions were used for generating representations with default built-in hyperparameters."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13041732/
FerroScore		created	https://github.com/tjq3/FerroScore	FerroScore is publicly available as an R package. The benchmark, as well as source codes have been deposited at the GitHub repository (https://github.com/tjq3/FerroScore).	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13336637/
tranSMART		used		"Genome‐wide DNA methylation data for the 885 EMIF‐AD MBD samples are stored on an online data platform using the ""tranSMART"" data warehouse framework."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11485320/
scMD		created	https://github.com/randel/scMD	scMD is publicly hosted on GitHub (https://github.com/randel/scMD).	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10418231/
EnsDeconv		created	https://github.com/randel/EnsDeconv	EnsDeconv (https://github.com/randel/EnsDeconv).	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10418231/
EpiSCORE		created	https://github.com/aet21/EpiSCORE	EpiSCORE (https://github.com/aet21/EpiSCORE).	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10418231/
ChromBPNet		used	https://github.com/kundajelab/ChromBPNet	"Training new models and generating DeepLIFT scores from:
  https://github.com/kundajelab/ChromBPNet"	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13335522/
TF-MoDISco		used	https://github.com/kundajelab/tfmodisco	Running TF-MoDISco from:   https://github.com/kundajelab/tfmodisco	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13335522/
FLARE		used	https://github.com/drewmard/FLARE	Training FLARE models for variant scoring:   https://github.com/drewmard/FLARE	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13335522/
BaySeq-Y		created	https://github.com/zdz-lab/BaySeq-Y	All code required to reproduce the results reported in this study and to apply BaySeq-Y to new datasets is available at GitHub (https://github.com/zdz-lab/BaySeq-Y). BaySeq-Y is implemented in R using the rjags package for Markov chain Monte Carlo (MCMC)-based Bayesian inference.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13345008/
disease classification model M1		created	http://doi.org/10.5281/zenodo.XXXXXX	R code for disease classification model M1 will be available at Supplementary Materials http://doi.org/10.5281/zenodo.XXXXXX after publication.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12458623/
Canonical HMM		created	https://github.com/OHBA-analysis/Canonical-HMM-Networks	Code and examples scripts for processing M/EEG data and applying the canonical HMM have been made publicly available here: Section 2.1 https://github.com/OHBA-analysis/Canonical-HMM-Networks.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13045528/
MONAI Generative Models		used	https://github.com/Project-MONAI/GenerativeModels.git	Additionally to this repository, the MONAI Generative Models package must be installed from https://github.com/Project-MONAI/GenerativeModels.git	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11832365/
BrainAgeNext		created	https://github.com/FrancescoLR/BrainAgeNeXt	BrainAgeNext's code and its trained model are available at the following GitHub repository: https://github.com/FrancescoLR/BrainAgeNeXt	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12319810/
EdgeR		used		EdgeR was used to reprocess both the mouse and human RNA sequencing data.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11384960/
ComplexHeatmap	v.2.21.0	used		The following R packages were used for data analysis: ComplexHeatmap (v.2.21.0), circlize (v.0.4.14), EnhancedVolcano (v.1.8.0), ggplot2 (v.3.4.3), and dplyr (v1.1.3) and Bioconductor (v.3.22) in Visual Studio Code.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12670911/
circlize	v.0.4.14	used		The following R packages were used for data analysis: ComplexHeatmap (v.2.21.0), circlize (v.0.4.14), EnhancedVolcano (v.1.8.0), ggplot2 (v.3.4.3), and dplyr (v1.1.3) and Bioconductor (v.3.22) in Visual Studio Code.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12670911/
EnhancedVolcano	v.1.8.0	used		The following R packages were used for data analysis: ComplexHeatmap (v.2.21.0), circlize (v.0.4.14), EnhancedVolcano (v.1.8.0), ggplot2 (v.3.4.3), and dplyr (v1.1.3) and Bioconductor (v.3.22) in Visual Studio Code.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12670911/
ggplot2	v.3.4.3	used		The following R packages were used for data analysis: ComplexHeatmap (v.2.21.0), circlize (v.0.4.14), EnhancedVolcano (v.1.8.0), ggplot2 (v.3.4.3), and dplyr (v1.1.3) and Bioconductor (v.3.22) in Visual Studio Code.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12670911/
dplyr	v1.1.3	used		The following R packages were used for data analysis: ComplexHeatmap (v.2.21.0), circlize (v.0.4.14), EnhancedVolcano (v.1.8.0), ggplot2 (v.3.4.3), and dplyr (v1.1.3) and Bioconductor (v.3.22) in Visual Studio Code.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12670911/
Bioconductor	v.3.22	used	http://bioconductor.org/	The following R packages were used for data analysis: ComplexHeatmap (v.2.21.0), circlize (v.0.4.14), EnhancedVolcano (v.1.8.0), ggplot2 (v.3.4.3), and dplyr (v1.1.3) and Bioconductor (v.3.22) in Visual Studio Code.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12670911/
WGCNA		used	https://horvath.genetics.ucla.edu/html/CoexpressionNetwork/Rpackages/WGCNA/	All analyses can be replicated using the standard WGCNA (https://horvath.genetics.ucla.edu/html/CoexpressionNetwork/Rpackages/WGCNA/) and Seurat (https://satijalab.org/seurat/index.html/) workflows and the specific parameters provided in the Method Details.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11223975/
Seurat		used	https://satijalab.org/seurat/index.html/	All analyses can be replicated using the standard WGCNA (https://horvath.genetics.ucla.edu/html/CoexpressionNetwork/Rpackages/WGCNA/) and Seurat (https://satijalab.org/seurat/index.html/) workflows and the specific parameters provided in the Method Details.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11223975/
GenoTools	10	used	https://github.com/GP2code/GenoTools	GenoTools version 10 (  https://gp2.org/  https://github.com/GP2code/GenoTools  ) was used for quality control, imputation, and ancestry prediction.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12140525/
Surreal-GAN	v0.1.1	used	https://github.com/zhijian-yang/SurrealGAN	Surreal-GAN (v0.1.1):   https://github.com/zhijian-yang/SurrealGAN  , Disease heterogeneity analysis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13440346/
MUSE	v3.1.0	used	https://github.com/CBICA/MUSE	MUSE (v3.1.0):   https://github.com/CBICA/MUSE  , RAVENS map extraction	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13440346/
SOPNMF	v0.0.4	used	https://github.com/anbai106/SOPNMF	SOPNMF (v0.0.4):   https://github.com/anbai106/SOPNMF  , Brain PSC extraction	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13440346/
ukbb_cardiac	git commit 2b6d637	used	https://github.com/baiwenjia/ukbb_cardiac	ukbb_cardiac (git commit 2b6d637):   https://github.com/baiwenjia/ukbb_cardiac  , Heart IDP extraction	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13440346/
FUMA	v1.5.0	used	https://fuma.ctglab.nl/	FUMA (v1.5.0):   https://fuma.ctglab.nl/  https://fuma.ctglab.nl/  ,   Gene mapping, genomic locus annotation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13440346/
GCTA	v1.94.1	used	https://yanglab.westlake.edu.cn/software/gcta/#Overview	GCTA (v1.94.1):   https://yanglab.westlake.edu.cn/software/gcta/#Overview  , Heritability estimates & fastGWA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13440346/
LDSC	git commit aa33296	used	https://github.com/bulik/ldsc	LDSC (git commit aa33296):   https://github.com/bulik/ldsc  , genetic correlation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13440346/
TwoSampleMR	v0.5.6	used	https://mrcieu.github.io/TwoSampleMR/index.html	TwoSampleMR (v0.5.6):   https://mrcieu.github.io/TwoSampleMR/index.html  , Mendelian randomization	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13440346/
