funder_name	funding_context_from_paper	recipient	grant_number	source_url	following	V	PI	grants	Union.	ID
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	R01AG057739	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	U19AG024904	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	R01LM013463	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	R01AG068193	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	T32AG071444	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	U01AG068057	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	U01AG072177	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	AS receives support from multiple NIH grants (P30 AG010133, P30, AG072976, R01 AG019771, R01AG057739, U19 AG024904, R01 LM013463, R01 AG068193, T32AG071444, U01 AG068057, U01 AG072177, and U19 AG074879).	AS	U19AG074879	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	BM was supported by the NIH grant R01AG069901	BM	R01AG069901	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	GK was supported by National Institutes of Health/National Institute on Aging grants RF1AG058942, RF1AG059093, U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	GK	RF1AG058942	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	GK was supported by National Institutes of Health/National Institute on Aging grants RF1AG058942, RF1AG059093, U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	GK	RF1AG059093	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	GK was supported by National Institutes of Health/National Institute on Aging grants RF1AG058942, RF1AG059093, U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	GK	U01AG061359	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	GK was supported by National Institutes of Health/National Institute on Aging grants RF1AG058942, RF1AG059093, U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	GK	U19AG063744	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	GK was supported by National Institutes of Health/National Institute on Aging grants RF1AG058942, RF1AG059093, U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	GK	R01AG069901	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	GK was supported by National Institutes of Health/National Institute on Aging grants RF1AG058942, RF1AG059093, U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	GK	U19AG074879	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	GK was supported by National Institutes of Health/National Institute on Aging grants RF1AG058942, RF1AG059093, U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	GK	R01AG081322	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	KN was supported by NIH/NLM R01LM012535	KN	R01LM012535	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	KN was supported by NIH/NIA U01AG068057, NIH/NIA U01AG072177, NIH/NIA U01AG24904, NIH/NIA U19AG074879, NIH/NIA P30AG072976, and NIH/NIA R01AG081322.	KN	U01AG068057	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	KN was supported by NIH/NIA U01AG068057, NIH/NIA U01AG072177, NIH/NIA U01AG24904, NIH/NIA U19AG074879, NIH/NIA P30AG072976, and NIH/NIA R01AG081322.	KN	U01AG072177	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	KN was supported by NIH/NIA U01AG068057, NIH/NIA U01AG072177, NIH/NIA U01AG24904, NIH/NIA U19AG074879, NIH/NIA P30AG072976, and NIH/NIA R01AG081322.	KN	U01AG024904	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	KN was supported by NIH/NIA U01AG068057, NIH/NIA U01AG072177, NIH/NIA U01AG24904, NIH/NIA U19AG074879, NIH/NIA P30AG072976, and NIH/NIA R01AG081322.	KN	U19AG074879	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	KN was supported by NIH/NIA U01AG068057, NIH/NIA U01AG072177, NIH/NIA U01AG24904, NIH/NIA U19AG074879, NIH/NIA P30AG072976, and NIH/NIA R01AG081322.	KN	P30AG072976	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	KN was supported by NIH/NIA U01AG068057, NIH/NIA U01AG072177, NIH/NIA U01AG24904, NIH/NIA U19AG074879, NIH/NIA P30AG072976, and NIH/NIA R01AG081322.	KN	R01AG081322	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	MA is supported by NIH/National Institute on Aging through grants U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	MA	U01AG061359	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	MA is supported by NIH/National Institute on Aging through grants U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	MA	U19AG063744	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	MA is supported by NIH/National Institute on Aging through grants U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	MA	R01AG069901	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	MA is supported by NIH/National Institute on Aging through grants U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	MA	U19AG074879	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	MA is supported by NIH/National Institute on Aging through grants U01AG061359, U19AG063744, R01AG069901, U19AG074879 and R01AG081322.	MA	R01AG081322	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Heart Foundation of Australia	PL was supported by National Heart Foundation of Australia, Future Leader Fellowship (102604)	PL	102604	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Health and Medical Research Council (NHMRC)	PL was supported by National Heart Foundation of Australia, Future Leader Fellowship (102604), and National Health and Medical Research Council Investigator Grant (2026325).	PL	2026325	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Health and Medical Research Council (NHMRC)	PJM is supported by Investigator grant (2009965) from the National Health and Medical Research Council of Australia.	PJM	2009965	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Health and Medical Research Council (NHMRC)	PJM was also supported by a National Health and Medical Research Council of Australia Senior Research Fellowship (#1042095).	PJM	1042095	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	RKD at Duke University leads and is in partnership with a large number of academic institutions funded in part by the Alzheimer Gut Microbiome Project (AGMP) and the Alzheimer s Disease Metabolomics Consortium (ADMC), which are funded wholly or in part by the following grants and supplements thereto: NIA 1RF1AG058942, 1RF1AG057452, RF1AG051550, R01AG046171, U01AG061359, U19AG063744, and 3U19AG063744–04S1.	RKD	1RF1AG058942	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	RKD at Duke University leads and is in partnership with a large number of academic institutions funded in part by the Alzheimer Gut Microbiome Project (AGMP) and the Alzheimer s Disease Metabolomics Consortium (ADMC), which are funded wholly or in part by the following grants and supplements thereto: NIA 1RF1AG058942, 1RF1AG057452, RF1AG051550, R01AG046171, U01AG061359, U19AG063744, and 3U19AG063744–04S1.	RKD	1RF1AG057452	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	RKD at Duke University leads and is in partnership with a large number of academic institutions funded in part by the Alzheimer Gut Microbiome Project (AGMP) and the Alzheimer s Disease Metabolomics Consortium (ADMC), which are funded wholly or in part by the following grants and supplements thereto: NIA 1RF1AG058942, 1RF1AG057452, RF1AG051550, R01AG046171, U01AG061359, U19AG063744, and 3U19AG063744–04S1.	RKD	RF1AG051550	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	RKD at Duke University leads and is in partnership with a large number of academic institutions funded in part by the Alzheimer Gut Microbiome Project (AGMP) and the Alzheimer s Disease Metabolomics Consortium (ADMC), which are funded wholly or in part by the following grants and supplements thereto: NIA 1RF1AG058942, 1RF1AG057452, RF1AG051550, R01AG046171, U01AG061359, U19AG063744, and 3U19AG063744–04S1.	RKD	R01AG046171	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	RKD at Duke University leads and is in partnership with a large number of academic institutions funded in part by the Alzheimer Gut Microbiome Project (AGMP) and the Alzheimer s Disease Metabolomics Consortium (ADMC), which are funded wholly or in part by the following grants and supplements thereto: NIA 1RF1AG058942, 1RF1AG057452, RF1AG051550, R01AG046171, U01AG061359, U19AG063744, and 3U19AG063744–04S1.	RKD	U01AG061359	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	RKD at Duke University leads and is in partnership with a large number of academic institutions funded in part by the Alzheimer Gut Microbiome Project (AGMP) and the Alzheimer s Disease Metabolomics Consortium (ADMC), which are funded wholly or in part by the following grants and supplements thereto: NIA 1RF1AG058942, 1RF1AG057452, RF1AG051550, R01AG046171, U01AG061359, U19AG063744, and 3U19AG063744–04S1.	RKD	U19AG063744	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institute on Aging (NIA)	RKD at Duke University leads and is in partnership with a large number of academic institutions funded in part by the Alzheimer Gut Microbiome Project (AGMP) and the Alzheimer s Disease Metabolomics Consortium (ADMC), which are funded wholly or in part by the following grants and supplements thereto: NIA 1RF1AG058942, 1RF1AG057452, RF1AG051550, R01AG046171, U01AG061359, U19AG063744, and 3U19AG063744–04S1.	RKD	3U19AG063744-04S1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	ADNI Data collection and sharing for this project was funded by ADNI (NIH Grant U01 AG024904)		U01AG024904	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278272/						
National Institutes of Health (NIH)	This work was supported in part by grants P30AG10161, P30AG72975, R01AG15819 and R01AG17917 (ROSMAP, D.A.B.)	D.A.B.	P30AG10161	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769298/						
National Institutes of Health (NIH)	This work was supported in part by grants P30AG10161, P30AG72975, R01AG15819 and R01AG17917 (ROSMAP, D.A.B.)	D.A.B.	P30AG72975	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769298/						
National Institutes of Health (NIH)	This work was supported in part by grants P30AG10161, P30AG72975, R01AG15819 and R01AG17917 (ROSMAP, D.A.B.)	D.A.B.	R01AG15819	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769298/						
National Institutes of Health (NIH)	This work was supported in part by grants P30AG10161, P30AG72975, R01AG15819 and R01AG17917 (ROSMAP, D.A.B.)	D.A.B.	R01AG17917	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769298/						
National Institutes of Health (NIH)	and by R01AG066831 and R21AG075754 (V.M.).	V.M.	R01AG066831	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769298/						
National Institutes of Health (NIH)	and by R01AG066831 and R21AG075754 (V.M.).	V.M.	R21AG075754	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769298/						
National Institutes of Health (NIH)	This research was funded in part through the NIH/NCI Cancer Center Support Grant P30CA013696 and used the Genomics and High Throughput Screening Shared Resource.	Sulzberger Genome Center at Columbia University Irving Medical Center	P30CA013696	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769298/						
National Center for Advancing Translational Sciences (NCATS)	The portion of the data generation done by the Sulzberger Genome Center is also supported by the National Center for Advancing Translational Sciences, NIH, through Grant Number UL1TR001873.	Sulzberger Genome Center	UL1TR001873	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769298/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	P50AG016574	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	R01AG032990	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	U01AG046139	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	R01AG018023	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	U01AG006576	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	U01AG006786	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	R01AG025711	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	R01AG017216	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation.	Mayo Clinic	R01AG003949	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute of Neurological Disorders and Stroke (NINDS)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation. The Brain and Body Donation Program is supported by the National Institute of Neurological Disorders and Stroke (U24 NS072026 National Brain and Tissue Resource for Parkinson's Disease and Related Disorders), the NIA (P30 AG19610 Arizona Alzheimer's Disease Core Center), the Arizona Department of Health Services (contract 211002, Arizona Alzheimer's Research Center), the Arizona Biomedical Research Commission (contracts 4001, 0011, 05‐901, and 1001 to the Arizona Parkinson's Disease Consortium), and the Michael J. Fox Foundation for Parkinson's Research.	Sun Health Research Institute Brain and Body Donation Program	R01NS080820	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute of Neurological Disorders and Stroke (NINDS)	Data collection was supported through funding by NIA grants P50 AG016574, R01 AG032990, U01 AG046139, R01 AG018023, U01 AG006576, U01 AG006786, R01 AG025711, R01 AG017216, R01 AG003949, NINDS grant R01 NS080820, CurePSP Foundation, and support from Mayo Foundation. The Brain and Body Donation Program is supported by the National Institute of Neurological Disorders and Stroke (U24 NS072026 National Brain and Tissue Resource for Parkinson's Disease and Related Disorders), the NIA (P30 AG19610 Arizona Alzheimer's Disease Core Center), the Arizona Department of Health Services (contract 211002, Arizona Alzheimer's Research Center), the Arizona Biomedical Research Commission (contracts 4001, 0011, 05‐901, and 1001 to the Arizona Parkinson's Disease Consortium), and the Michael J. Fox Foundation for Parkinson's Research.	Sun Health Research Institute Brain and Body Donation Program	U24NS072026	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
National Institute on Aging (NIA)	The Brain and Body Donation Program is supported by the National Institute of Neurological Disorders and Stroke (U24 NS072026 National Brain and Tissue Resource for Parkinson's Disease and Related Disorders), the NIA (P30 AG19610 Arizona Alzheimer's Disease Core Center), the Arizona Department of Health Services (contract 211002, Arizona Alzheimer's Research Center), the Arizona Biomedical Research Commission (contracts 4001, 0011, 05‐901, and 1001 to the Arizona Parkinson's Disease Consortium), and the Michael J. Fox Foundation for Parkinson's Research.	Sun Health Research Institute Brain and Body Donation Program	P30AG019610	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
Arizona Department of Health Services	The Brain and Body Donation Program is supported by the National Institute of Neurological Disorders and Stroke (U24 NS072026 National Brain and Tissue Resource for Parkinson's Disease and Related Disorders), the NIA (P30 AG19610 Arizona Alzheimer's Disease Core Center), the Arizona Department of Health Services (contract 211002, Arizona Alzheimer's Research Center), the Arizona Biomedical Research Commission (contracts 4001, 0011, 05‐901, and 1001 to the Arizona Parkinson's Disease Consortium), and the Michael J. Fox Foundation for Parkinson's Research.	Arizona Alzheimer's Research Center	211002	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
Arizona Biomedical Research Commission	The Brain and Body Donation Program is supported by the National Institute of Neurological Disorders and Stroke (U24 NS072026 National Brain and Tissue Resource for Parkinson's Disease and Related Disorders), the NIA (P30 AG19610 Arizona Alzheimer's Disease Core Center), the Arizona Department of Health Services (contract 211002, Arizona Alzheimer's Research Center), the Arizona Biomedical Research Commission (contracts 4001, 0011, 05‐901, and 1001 to the Arizona Parkinson's Disease Consortium), and the Michael J. Fox Foundation for Parkinson's Research.	Arizona Parkinson's Disease Consortium	4001	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
Arizona Biomedical Research Commission	The Brain and Body Donation Program is supported by the National Institute of Neurological Disorders and Stroke (U24 NS072026 National Brain and Tissue Resource for Parkinson's Disease and Related Disorders), the NIA (P30 AG19610 Arizona Alzheimer's Disease Core Center), the Arizona Department of Health Services (contract 211002, Arizona Alzheimer's Research Center), the Arizona Biomedical Research Commission (contracts 4001, 0011, 05‐901, and 1001 to the Arizona Parkinson's Disease Consortium), and the Michael J. Fox Foundation for Parkinson's Research.	Arizona Parkinson's Disease Consortium	0011	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183599/						
