Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/FahimFBA/organize-ADNI	FahimFBA	FahimFBA	HTML	YES - This repository is directly related to Alzheimer's disease research and neuroimaging. It specifically works with the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset, organizing brain imaging data for different patient groups (Alzheimer's Disease, Mild Cognitive Impairment, and Cognitively Normal subjects).	This repository provides three Python scripts to reorganize and clean the ADNI dataset by grouping subjects based on their diagnostic categories (AD, MCI, CN), removing unnecessary subdirectories, and renaming neuroimaging files to use subject IDs. The scripts work sequentially to transform the original ADNI dataset structure into a more organized format suitable for analysis.	- Neuroimaging data (.nii files - NIfTI format) - CSV files containing subject metadata and group classifications - MRI brain imaging data from the ADNI dataset	- Python 3.9 or later - Standard Python libraries for file system operations - Git for version control - Command line interface for script execution
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/atri-biostats/ADNIMERGE2	atri-biostats	KedirHussen-atri; mcdonohue	R	YES - This repository is directly related to Alzheimer's disease research, which is a major neurodegenerative condition. It provides an R data package for the Alzheimer's Disease Neuroimaging Initiative (ADNI) study, which is a well-known longitudinal study focused on understanding Alzheimer's disease progression through neuroimaging and clinical data.	ADNIMERGE2 is an R data package that provides access to datasets from the Alzheimer's Disease Neuroimaging Initiative (ADNI) study. The package serves as a structured way to distribute and access ADNI research data for analysis, requiring proper authorization through the LONI website and acceptance of data use agreements.	Not specified in the available repository information, though given it's an ADNI package, it likely contains neuroimaging data (MRI, PET), clinical assessments, cognitive test scores, and demographic data typical of ADNI studies.	- R programming language - R package development framework - LONI data sharing platform integration
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/myousefnezhad/adni202	myousefnezhad	myousefnezhad		YES - This repository is directly related to Alzheimer's disease, a major neurodegenerative condition, and contains neural images (likely neuroimaging data) from the well-known ADNI (Alzheimer's Disease Neuroimaging Initiative) dataset for research purposes.	"This repository contains Alzheimer's Disease Neural Images from the ADNI dataset for 202 subjects. The data appears to be associated with research on clustering ensemble methods using the ""Wisdom of Crowds"" theory framework (WoCE) for analyzing Alzheimer's disease neuroimaging data."	Neural images (neuroimaging data) from ADNI dataset - specific imaging modality not specified in the available repository information.	Not specified in the available repository information.
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/CarlosTheran/REU-ADNIC-2021	CarlosTheran	CarlosTheran		YES - This repository is biomedically relevant as it focuses on Alzheimer's disease, which is a major neurodegenerative disorder. The application specifically deals with classification of Alzheimer's stages, which is directly related to clinical assessment and diagnosis of this neurological condition.	This repository contains a machine learning application designed to classify different stages of Alzheimer's disease. The purpose is to develop automated tools that can help identify and categorize the progression stages of Alzheimer's, which would be valuable for clinical diagnosis and patient monitoring.	Not specified in the available repository information.	Not specified in the available repository information.
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/BorgwardtLab/ADNI_3DCNNvsTDA	BorgwardtLab	sbrueningk	Python	YES - This repository is directly focused on Alzheimer's Disease classification using brain imaging data from the ADNI (Alzheimer's Disease Neuroimaging Initiative) database, which is a major biomedical research initiative for neurodegenerative disease study.	This repository contains machine learning model implementations for Alzheimer's Disease classification that compare 3D Convolutional Neural Networks (CNNs) with Topological Data Analysis (TDA) approaches. The models analyze different brain image subsets including hippocampus regions, image patches, and full inner brain images, incorporating clinical domain knowledge for improved classification performance.	3D brain imaging data (specific modality not specified), hippocampus imaging data, brain image patches, persistence images from topological data analysis, clinical data from ADNI database.	3D CNNs, 2D CNNs, Graph Neural Networks (GNN), Logistic Regression (LR), Topological Data Analysis (TDA), dense neural network models. Specific frameworks and packages are not detailed in the available repository information.
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/yingjiegaryzhou/ADNI3_TauPET_TDA	yingjiegaryzhou	yingjiegaryzhou	R	YES - This repository is directly related to Alzheimer's disease research, analyzing tau protein PET scans from the ADNI3 (Alzheimer's Disease Neuroimaging Initiative) dataset. It focuses on neuroimaging analysis of tau pathology, which is a key biomarker in Alzheimer's disease and other neurodegenerative conditions.	This code implements texture analysis of tau PET brain scans using the Smooth Euler Characteristic Transform (SECT) followed by Structured Functional Principal Component Analysis (SFPCA). The pipeline processes ADNI3 baseline tau PET scans through preprocessing, ROI extraction, SECT algorithm application, and statistical analysis to analyze tau protein distribution patterns in brain regions like the hippocampus.	Tau PET scans, MRI data, clinical data, diagnosis files, neuroimaging data from ADNI3 dataset	R programming language, SECT (Smooth Euler Characteristic Transform) algorithm, SFPCA (Structured Functional Principal Component Analysis), topological data analysis methods, neuroimaging preprocessing tools
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/H-Snoussi/ADNI3-Blueprints	H-Snoussi	H-Snoussi	Shell	YES - This repository is directly related to Alzheimer's disease research, specifically processing neuroimaging data from the ADNI3 (Alzheimer's Disease Neuroimaging Initiative) study to analyze brain connectivity and perform tractography analysis.	This code provides a processing pipeline for diffusion MRI data from the ADNI3 Alzheimer's disease study. It performs preprocessing and analysis steps to generate brain connectivity blueprints and tractography from neuroimaging data.	- Diffusion MRI data - T1-weighted MRI data - bvecs (diffusion gradient directions) - bvals (b-values for diffusion weighting)	Not specified in the available repository information.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/bmcastrow/AmyloidbetaA4-pIC50-prediction	bmcastrow	bmcastrow	Jupyter Notebook	YES. This repository is directly focused on Alzheimer's disease research, specifically developing machine learning models to predict the inhibitory concentration (pIC50) of chemical compounds against Amyloid-beta A4. The project aims to identify potential therapeutic compounds that could inhibit amyloid-beta production or aggregation, which is a key pathological hallmark of Alzheimer's disease.	This project develops machine learning and deep learning pipelines to predict pIC50 values of chemical compounds against Amyloid-beta A4 for Alzheimer's drug discovery. The code includes data exploration from the ChEMBL database, molecular descriptor calculation, traditional ML models with hyperparameter optimization using Optuna, and a deep learning approach using ChemBERTa with LoRA fine-tuning. All experiments are tracked using MLFlow for performance monitoring and comparison.	Chemical compound data from ChEMBL database, molecular fingerprints generated with PaDEL-Descriptor, chemical descriptors (Lipinski descriptors) calculated using RDKit, SMILES molecular representations, and pIC50 inhibitory concentration values.	Python 3.8.19, ChEMBL database, RDKit, PaDEL-Descriptor, Optuna, MLFlow, Hugging Face ChemBERTa, LoRA (Low-Rank Adaptation), tree-based regressors, Conda/miniconda, Git, and various machine learning libraries for molecular analysis and model development.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/AAA-lab-genetic/Multiancestry_LRRK2_p.A419V	AAA-lab-genetic	LimKaiShi	Jupyter Notebook	YES - This repository is directly focused on Parkinson's disease research, specifically analyzing the LRRK2 p.A419V genetic variant's role as a risk factor and its influence on age of onset in East Asian populations. It involves genetic analysis of Parkinson's disease data across multiple ancestries.	This code analyzes the LRRK2 p.A419V genetic variant's association with Parkinson's disease risk and age of onset across multiple populations and datasets. The analysis includes variant analysis, haplotype analysis, and age-of-onset comparisons using genomic data from GP2, AMP-PD, and All of Us cohorts.	Genomic/genetic data (genotyped and whole-genome sequencing data), clinical data (age of onset), population ancestry data, haplotype data	Python (pandas, numpy, seaborn, matplotlib, statsmodel, rpy2), R (tidyverse, dplyr, tidyr, ggplot2, car, cowplot, grid, RColorBrewer, forestmodel, survival), PLINK (versions 1.9 and 2.0), GenoTools (v1.0.0), Jupyter notebooks
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/RoxanneWAAANG/A4-Unet	RoxanneWAAANG	JenDuu; RoxanneWAAANG	Python	YES. This repository is directly focused on brain tumor segmentation using MRI data, which is a core biomedical application for neurological conditions. The project specifically addresses brain tumor analysis using medical imaging data and achieves state-of-the-art results on the BraTS (Brain Tumor Segmentation) dataset.	A4-Unet is a deep learning architecture for brain tumor segmentation that combines four advanced components: Deformable Large Kernel Attention (DLKA), Swin Spatial Pyramid Pooling (SSPP), Combined Attention Module (CAM), and Attention Gates (AG). The model addresses challenges in MRI brain tumor segmentation including irregular tumor shapes and unclear boundaries, achieving 94.4% Dice score on the BraTS 2020 dataset.	MRI data including T1-weighted, T1-contrast enhanced, T2-weighted, and FLAIR sequences; segmentation masks; skin lesion data (ISIC dataset); hippocampus imaging data.	Python 3.8+, PyTorch 1.8+, Swin Transformer, deformable convolutions, DCT (Discrete Cosine Transform), attention mechanisms, mixed precision training (AMP), AdamW optimizer, learning rate scheduling, Jupyter notebooks for visualization.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/menglutao/Motor-imagery-classification-from-EEG-for-brain-computer-interface	menglutao	DiegoZanutti; menglutao	Jupyter Notebook	YES - This repository is biomedically relevant as it focuses on motor imagery classification from EEG signals for brain-computer interfaces (BCIs). This directly relates to neuroscience research and has applications in healthcare for neurological conditions, particularly for developing assistive technologies for individuals with motor disabilities.	This project develops algorithms to classify motor imagery data from electroencephalogram (EEG) signals for brain-computer interface applications. The goal is to accurately interpret EEG signals generated when individuals imagine physical movements and use these signals to control external devices or interfaces.	EEG (electroencephalogram) signals, motor imagery data	Python 3.8, pyenv (Python version management), pip (package management), Git (version control), virtual environments
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/allengaller/a4c-rocky-club	allengaller	allengaller		"NO - Based on the extremely limited information available, this appears to be a general project repository with only a basic README containing the phrase ""Brain Storm and Build."" There is no clear indication of biomedical research, neuroscience applications, or healthcare-related functionality."	"The repository contains minimal information with only a basic README file that mentions ""Rocky Club - Brain Storm and Build."" Without any visible code, documentation, or project details, the actual purpose and functionality cannot be determined."	Not specified in the available repository information.	Not specified in the available repository information.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/henrymasterlof/brainpill-a41e75f3-ind	henrymasterlof	henrymasterlof		"NO - This repository is not biomedically relevant. It appears to be a marketing/promotional website for a commercial brain supplement product called ""BrainPill"" rather than a scientific research project, medical analysis tool, or biomedical software application. The content is entirely focused on product marketing, testimonials, and sales rather than any legitimate biomedical research or clinical analysis."	"This repository contains marketing content for a commercial brain supplement product called ""BrainPill."" The content is written in Indonesian and consists of promotional material including product descriptions, claimed benefits, user testimonials, and sales links rather than any actual code or software."	Not specified in the available repository information.	Not specified in the available repository information.
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/akinyeraakintunde/Data-Validation-with-Python-	akinyeraakintunde	akinyeraakintunde	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's disease and cognitive impairment classification. It analyzes clinical data from the AIBL (Australian Imaging, Biomarkers and Lifestyle) study to predict cognitive impairment by distinguishing between Healthy Controls (HC) and Non-Healthy Controls (MCI + Alzheimer's Disease patients) using various biomedical assessments.	This project performs exploratory data analysis and builds baseline machine learning classifiers to predict cognitive impairment from merged AIBL clinical datasets. The code merges multiple CSV files containing patient demographics, cognitive assessments, medical history, and lab data, then trains LightGBM and RandomForest models to classify patients as either Healthy Controls or cognitively impaired (MCI/AD). The pipeline includes data cleaning, feature selection (reducing to 17 predictive features), and model evaluation using ROC AUC metrics.	Clinical assessment data (MMSE scores, CDR ratings, neurobattery tests), patient demographics, medical history, laboratory data, APOE genetic data, cognitive test scores (immediate and delayed recall), and longitudinal visit data from the AIBL study.	pandas, numpy, matplotlib, seaborn, scikit-learn, lightgbm, Python, Google Colab
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN	xiaoxingxingkz	xiaoxingxingkz	Python	YES - This repository is directly related to Alzheimer's disease research, specifically focusing on decoding individualized brain atrophy patterns. It combines neuroimaging analysis with machine learning approaches to study neurodegenerative changes in Alzheimer's disease.	This project implements a Generative Adversarial Network (GAN) called BrainStatTrans-GAN designed to analyze and decode individualized brain atrophy patterns in Alzheimer's disease patients. The system appears to use brain status transferring techniques to generate or transform brain imaging data to better understand disease progression and individual variations in neurodegeneration.	Brain imaging data (likely MRI based on the context of brain atrophy analysis), though specific imaging modalities are not explicitly detailed in the available repository information.	Not specified in the available repository information (the README content provided is limited and doesn't include technical implementation details, dependencies, or framework specifications).
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN-MindSpore	xiaoxingxingkz	xiaoxingxingkz	Python	YES - This repository is directly focused on Alzheimer's disease research, specifically developing a generative adversarial network (GAN) to decode individualized brain atrophy patterns in Alzheimer's patients. This falls squarely within neurodegenerative disease research and brain analysis applications.	This repository implements a Brain Status Transferring Generative Adversarial Network (BrainStatTrans-GAN) using the MindSpore framework to analyze and decode individualized brain atrophy patterns in Alzheimer's disease patients. The GAN appears to be designed to transfer or simulate brain status changes related to neurodegeneration, likely for better understanding disease progression or patient-specific analysis.	Not specified in the available repository information.	MindSpore (deep learning framework), Generative Adversarial Networks (GANs)
Brain Health Registry	BHR	Alzheimer's Disease; Parkinson's Disease; Cognitive Decline; Normal Aging; Multiple Neurodegenerative Conditions	https://github.com/PathipakaSujita/bhr2	PathipakaSujita	PathipakaSujita	JavaScript	NO - Based on the available repository information, this appears to be a basic Node.js server application with minimal configuration. There is no indication of biomedical research, neuroscience applications, or healthcare-related functionality in the provided content.	This is a minimal Node.js server application using Express.js framework. The repository contains only basic package configuration with a simple web server setup and no apparent specialized functionality implemented yet.	Not specified in the available repository information.	- Node.js (version 12.6.0) - npm (version 6.9.0) - Express.js (version 4.17.1)
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	llevitis	llevitis; dependabot[bot]	Jupyter Notebook	YES - This repository is directly related to Alzheimer's disease research, specifically focusing on epidemic spreading modeling of amyloid beta protein in the Dominantly Inherited Alzheimer's Network (DIAN) dataset. Amyloid beta accumulation is a key pathological hallmark of Alzheimer's disease, making this highly relevant to neurodegenerative disease research.	This project implements epidemic spreading models to analyze the progression and distribution of amyloid beta protein in Alzheimer's disease using data from the DIAN dataset. The code appears to model how amyloid beta spreads through brain networks, which is crucial for understanding the pathological progression of dominantly inherited Alzheimer's disease.	DIAN (Dominantly Inherited Alzheimer's Network) dataset - specific data modalities not specified in the available repository information.	Git submodules for managing ESM (Epidemic Spreading Model) scripts and data dependencies.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	WheelockLab	cindyhfls	MATLAB	YES - This repository is directly related to Alzheimer's disease research, specifically analyzing data from the Dominantly Inherited Alzheimer Network (DIAN). The focus on hub disruption and functional connectivity (FC) indicates neuroimaging analysis of brain networks in the context of inherited Alzheimer's disease.	Based on the repository name and data files, this code appears to analyze hub disruption in functional connectivity networks using data from the DIAN study. The research likely examines how brain network hubs are affected in dominantly inherited Alzheimer's disease, using MRI data from 207 subjects and incorporating regression analysis with covariates.	MRI data, clinical/demographic data (regression covariates), hub disruption indices (HDI scores), functional connectivity data	Not specified in the available repository information.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-app	scify	PavlosIsaris; dependabot[bot]	TypeScript	"YES - This repository is biomedically relevant as it is specifically designed for ""non-pharmaceutical activities for people with dementia."" Dementia is a neurodegenerative condition, and this mobile application appears to provide healthcare interventions or support tools for individuals with dementia."	Dianoia is an Ionic mobile application that provides non-pharmaceutical activities and interventions for people with dementia. The app is built using legacy Ionic 3/Cordova 8 framework and can be deployed as both a mobile app (Android) and web application, with error tracking capabilities for monitoring app performance.	Not specified in the available repository information.	Node.js v14.21.1, npm 6.14.17, Ionic CLI 6.11.11, Cordova 8.1.2, Java 8 (OpenJDK), Gradle 4.10.3, Android SDK, Android Studio, Firebase Analytics, GlitchTip (error tracking), GitHub Pages, Apache Cordova hooks, and various build tools including jarsigner, zipalign, and apksigner.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-Marketplace	scify	NikolasGialitsis; PavlosIsaris; stacksharebot; estafons	PHP	"YES - The repository is biomedically relevant as it is a web application for creating content for the ""Dianoia"" mobile app. Dianoia (meaning ""thought"" or ""mind"" in Greek) appears to be related to cognitive/neurological applications, suggesting this is a healthcare platform for brain-related conditions or cognitive assessment."	This is a Laravel 12 web application that serves as a content management system for the Dianoia mobile app. The application provides a backend platform for creating, managing, and delivering content to the associated mobile application, likely for cognitive health or neurological assessment purposes.	Not specified in the available repository information.	- Laravel 12 (PHP framework) - PHP 8.0+ - Composer (dependency management) - Node.js and npm (frontend dependencies) - Apache web server - MySQL/database system - Laravel Pint (code styling) - Spatie Laravel Sitemap (SEO) - Xdebug (debugging)
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	seowork321	seowork321		NO. This appears to be an educational website or content about basic human anatomy for children (Diana and Roma are popular children's YouTube characters), not a biomedical research repository. It provides general educational information about body organs rather than conducting medical research, clinical analysis, or scientific investigation of neurological conditions.	Based on the limited content available, this appears to be a simple educational website or repository that provides basic information about human body organs including the brain, heart, lungs, liver, and stomach. The content seems designed for educational purposes, likely targeting children, explaining fundamental functions of major body organs.	Not specified in the available repository information.	Not specified in the available repository information.
