Resource Name	Primary dataset mentions	# distinct DOIs	DOI links
The MIT Religious Orders Study and Rush Memory and Aging Project Single-Nucleus Multiomics Study	52	9	https://doi.org/10.5281/zenodo.12507355; https://doi.org/10.5281/zenodo.19562677; https://doi.org/10.5281/zenodo.19965486; https://doi.org/10.5281/zenodo.20851582; https://doi.org/10.5281/zenodo.8287248; https://doi.org/10.6084/m9.figshare.23934933.v1; https://doi.org/10.6084/m9.figshare.29497418; https://doi.org/10.7303/syn66644078; https://doi.org/10.7303/syn73904737
Parkinson's Progression Markers Initiative	27	9	https://doi.org/10.5281/zenodo.11391274; https://doi.org/10.5281/zenodo.11660808; https://doi.org/10.5281/zenodo.14047599; https://doi.org/10.5281/zenodo.14892610; https://doi.org/10.5281/zenodo.16814373; https://doi.org/10.5281/zenodo.17195713; https://doi.org/10.5281/zenodo.17252636; https://doi.org/10.5281/zenodo.18525492; https://doi.org/10.5281/zenodo.18894423
Accelerating Medicines Partnership - Parkinson's Disease and Related Disorders	64	9	https://doi.org/10.5281/zenodo.10257319; https://doi.org/10.5281/zenodo.13363465; https://doi.org/10.5281/zenodo.14193209; https://doi.org/10.5281/zenodo.14705134; https://doi.org/10.5281/zenodo.15002590; https://doi.org/10.5281/zenodo.16583859; https://doi.org/10.5281/zenodo.20159771; https://doi.org/10.5281/zenodo.20476724; https://doi.org/10.5281/zenodo.7904831
Brains for Dementia Research	71	7	https://doi.org/10.1007/s00401-025-02891-6; https://doi.org/10.1073/pnas.2402604121#supplementary-materials; https://doi.org/10.5281/zenodo.18896143; https://doi.org/10.5281/zenodo.18992512; https://doi.org/10.5281/zenodo.20509420; https://doi.org/10.6084/m9.figshare.28955612; https://doi.org/10.6084/m9.figshare.29986714.v4
The National Institute on Aging Genetics of Alzheimer's Disease Data Storage Site	58	7	https://doi.org/10.5281/zenodo.13743529; https://doi.org/10.5281/zenodo.14783317; https://doi.org/10.5281/zenodo.17833353; https://doi.org/10.5281/zenodo.17946912; https://doi.org/10.5281/zenodo.18156902; https://doi.org/10.5281/zenodo.18634555; https://doi.org/10.5281/zenodo.20430921
Answer ALS	58	7	https://doi.org/10.17632/c3jhd93cww.1; https://doi.org/10.5061/dryad.v41ns1s4f; https://doi.org/10.5281/zenodo.13937572; https://doi.org/10.5281/zenodo.15284709; https://doi.org/10.5281/zenodo.17210092; https://doi.org/10.5281/zenodo.8142336; https://doi.org/10.5281/zenodo.8331545
The Religious Orders Study and Memory and Aging Project iPSC-Derived Induced Neurons Study	52	7	https://doi.org/10.5281/zenodo.10472216; https://doi.org/10.5281/zenodo.17449854; https://doi.org/10.5281/zenodo.17449888; https://doi.org/10.5281/zenodo.18100691; https://doi.org/10.5281/zenodo.18121206; https://doi.org/10.7303/syn52335732; https://doi.org/10.7303/syn73904737
Religious Orders Study and Memory and Aging Project - Nucleus Hashing Study	66	6	https://doi.org/10.5281/zenodo.10472216; https://doi.org/10.5281/zenodo.15263274; https://doi.org/10.5281/zenodo.8287248; https://doi.org/10.6084/m9.figshare.31329139; https://doi.org/10.6084/m9.figshare.31329184; https://doi.org/10.7303/syn52335732
ALLFTD: ARTFL-LEFFTDS Longitudinal FrontoTemporal Dementia Study	74	6	https://doi.org/10.17605/OSF.IO/RNGM3; https://doi.org/10.5061/dryad.h9w0vt4t9; https://doi.org/10.5281/zenodo.10233187; https://doi.org/10.5281/zenodo.12773066; https://doi.org/10.5281/zenodo.14649027; https://doi.org/10.5281/zenodo.14941325
Brain & Body Donation Program	47	6	https://doi.org/10.1038/s41467-024-49402-x; https://doi.org/10.5281/zenodo.16751625; https://doi.org/10.5281/zenodo.16885839; https://doi.org/10.5281/zenodo.18989318; https://doi.org/10.5281/zenodo.19124469; https://doi.org/10.5281/zenodo.19124632
The Accelerating Medicines Partnership Alzheimer's Disease Diverse Cohorts Study	43	6	https://doi.org/10.5281/zenodo.13895685; https://doi.org/10.5281/zenodo.19961797; https://doi.org/10.6084/m9.figshare.28314569.v4; https://doi.org/10.6084/m9.figshare.31549300; https://doi.org/10.7303/9618093; https://doi.org/10.7303/syn73904737
The Mount Sinai Brain Bank study	48	6	https://doi.org/10.5281/zenodo.17210092; https://doi.org/10.5281/zenodo.17477449; https://doi.org/10.5281/zenodo.19631706; https://doi.org/10.5281/zenodo.20073415; https://doi.org/10.5281/zenodo.20851582; https://doi.org/10.6084/m9.figshare.31549300
Mayo Clinic Brain Bank for Neurodegenerative Disorders	82	6	https://doi.org/10.17632/pp9vnn666d.1; https://doi.org/10.5281/zenodo.12507355; https://doi.org/10.5281/zenodo.15637268; https://doi.org/10.5281/zenodo.17712260; https://doi.org/10.6084/m9.figshare.28314569.v4; https://doi.org/10.7303/9618093
National Centralized Repository for Alzheimer's Disease and Related Dementias	74	5	https://doi.org/10.17605/OSF.IO/RNGM3; https://doi.org/10.5281/zenodo.12773066; https://doi.org/10.5281/zenodo.17449854; https://doi.org/10.5281/zenodo.17449888; https://doi.org/10.5281/zenodo.18121206
The Religious Orders Study and Memory and Aging Project Cognitive Resilience Study	65	5	https://doi.org/10.5281/zenodo.17477449; https://doi.org/10.5281/zenodo.18842083; https://doi.org/10.5281/zenodo.18994273; https://doi.org/10.6084/m9.figshare.31549300; https://doi.org/10.7303/syn66644078
Cambridge Centre for Ageing and Neuroscience (Cam-CAN)	46	5	https://doi.org/10.5281/zenodo.12799096; https://doi.org/10.6084/m9.figshare.27934962.v2; https://doi.org/10.6084/m9.figshare.29519285.v1; https://doi.org/10.6084/m9.figshare.29519639.v1; https://doi.org/10.6084/m9.figshare.29519756.v1
The Mayo RNAseq Study (Mayo Clinic RNA Sequencing Study)	76	4	https://doi.org/10.5281/zenodo.12507355; https://doi.org/10.5281/zenodo.13895685; https://doi.org/10.5281/zenodo.15198638; https://doi.org/10.6084/m9.figshare.28314569.v4
The Religious Orders Study and Memory and Aging Project Resilience APOE4 Study	36	4	https://doi.org/10.6084/m9.figshare.31329139; https://doi.org/10.6084/m9.figshare.31329184; https://doi.org/10.7303/9618093; https://doi.org/10.7303/syn64942601
Swedish BioFINDER-2 Study	205	3	https://doi.org/10.1016/j.nicl.2020.102310; https://doi.org/10.5061/dryad.p5hqbzkkx; https://doi.org/10.5281/zenodo.15389493
Dominantly Inherited Alzheimer Network	80	3	https://doi.org/10.3390/ijms25052565/s1; https://doi.org/10.5281/zenodo.15763232; https://doi.org/10.5281/zenodo.8267332
The collaborative St. Jude Children's Research Hospital - Banner Sun Health Research Institute Alzheimer's Disease and Related Dementias Study	37	3	https://doi.org/10.25740/sq409qv3664; https://doi.org/10.5281/zenodo.17173379; https://doi.org/10.5281/zenodo.18562016
Alzheimer's Disease Metabolomics Consortium	26	3	https://doi.org/10.6084/m9.figshare.23934933.v1; https://doi.org/10.7303/9618093; https://doi.org/10.7303/syn64942601
The Emory Alzheimer's Disease Research Center Brain Bank Study	25	3	https://doi.org/10.1073/pnas.2514355123#supplementary-materials; https://doi.org/10.3390/biom14060615/s1; https://doi.org/10.3390/cells12242781/s1
Alzheimer's Disease Genetics Consortium	61	3	https://doi.org/10.5281/zenodo.14001011; https://doi.org/10.5281/zenodo.17833353; https://doi.org/10.5281/zenodo.18324799
Accelerating Medicines Partnership - Parkinson's Disease and Related	19	3	https://doi.org/10.5281/zenodo.14193209; https://doi.org/10.5281/zenodo.20085869; https://doi.org/10.5281/zenodo.20476724
Brain Cell Type-Specific Enhancer-Promoter Interactome Maps and Disease	23	3	https://doi.org/10.5281/zenodo.10472216; https://doi.org/10.5281/zenodo.7818443; https://doi.org/10.7303/syn52335732
UK Biobank Neurodegenerative Cohort	14	3	https://doi.org/10.17863/CAM.128272; https://doi.org/10.5281/zenodo.17966320; https://doi.org/10.5281/zenodo.7974716
iPSC Neurodegenerative Disease Initiative Cell Line Collection	53	3	https://doi.org/10.1101/2024.02.15.580326; https://doi.org/10.5281/zenodo.14262625; https://doi.org/10.5281/zenodo.18704033
The English Longitudinal Study of Ageing	36	3	https://doi.org/10.17605/OSF.IO/2A4MD; https://doi.org/10.3389/fnins.2026.1854922/full#supplementary-material; https://doi.org/10.7910/DVN/KY6GUC
The Apolipoprotein E isoforms differentially shape the transcriptomic and epigenomic landscapes of human microglia in a xenotransplantation model of Alzheimer's Disease [RNA-seq]	7	3	https://doi.org/10.5281/zenodo.14871788; https://doi.org/10.5281/zenodo.15176132; https://doi.org/10.5281/zenodo.15202660
The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative 1 Study	31	2	https://doi.org/10.5281/zenodo.15699094; https://doi.org/10.5281/zenodo.18634555
Biomarkers of Cognitive Decline Among Normal Individuals	62	2	https://doi.org/10.5281/zenodo.17833353; https://doi.org/10.5281/zenodo.18202413
The Religious Orders Study and Memory and Aging Project Lipidomics Study at Emory University	30	2	https://doi.org/10.5281/zenodo.8282733; https://doi.org/10.7303/syn64942601
Australian Imaging Biomarkers and Lifestyle Study of Ageing	30	2	https://doi.org/10.17605/OSF.IO/MGTQR; https://doi.org/10.5281/zenodo.XXXXXX
Baltimore Longitudinal Study of Aging Synthetic Data	44	2	https://doi.org/10.5281/zenodo.17833353; https://doi.org/10.5281/zenodo.19503228
Baltimore Longitudinal Study of Aging Open Data	65	2	https://doi.org/10.5281/zenodo.17833353; https://doi.org/10.5281/zenodo.19503228
Baltimore Longitudinal Study of Aging Permissioned Data	61	2	https://doi.org/10.5281/zenodo.17833353; https://doi.org/10.5281/zenodo.19503228
Emory Goizueta Alzheimer's Disease Research Center – Genetics and Neuroproteomics Core	48	2	https://doi.org/10.5281/zenodo.14143622; https://doi.org/10.7303/9618093
The Mayo Pilot RNAseq Study	41	2	https://doi.org/10.5281/zenodo.12507355; https://doi.org/10.5281/zenodo.15198638
Northern Ireland Cohort for Longitudinal Study of Ageing	22	2	https://doi.org/10.17605/OSF.IO/ZD37; https://doi.org/10.17605/OSF.IO/ZD37J
The UCSF Memory and Aging Center Study	63	2	https://doi.org/10.17605/OSF.IO/9ZF5S; https://doi.org/10.5281/zenodo.17712260
Transcriptome-Wide Association Study in Alzheimer's Disease	14	2	https://doi.org/10.5281/zenodo.10472216; https://doi.org/10.7303/syn52335732
The ROSMAP iPSC-derived Astrocyte Study	24	2	https://doi.org/10.5281/zenodo.10472216; https://doi.org/10.7303/syn52335732
LRRK2 Cohort Consortium	16	2	https://doi.org/10.5281/zenodo.14861830; https://doi.org/10.5281/zenodo.17102285
Cambridgeshire Parkinsons Incidence from GP to Neurologist Study	5	2	https://doi.org/10.3390/ijms27146173/s1; https://doi.org/10.5281/zenodo.8017385
Brain Viral Profiling in the Mayo Clinic Brain Bank, Mount Sinai Brain Bank, and Religious Orders Study and Memory and Aging Project Cohorts	23	2	https://doi.org/10.5281/zenodo.13895685; https://doi.org/10.5281/zenodo.18100691
The single nucleus RNA sequencing analysis of TREM2-impact in Alzheimer's Disease study	12	2	https://doi.org/10.5525/gla.researchdata.2076; https://doi.org/10.6084/m9.figshare.27041767
The Harvard Brain Tissue Resource Center (HBTRC) Study	39	2	https://doi.org/10.1073/pnas.2417728121#supplementary-materials; https://doi.org/10.5281/zenodo.17712260
Fox Insight	9	2	https://doi.org/10.1038/s41531-025-00907-2; https://doi.org/10.5281/zenodo.11644053
Genome-wide Histone H3 Lysine 27 Acetylation Profiles in Post-Mortem Entorhinal Cortex Samples from Alzheimer's Disease Cases and Controls	5	2	https://doi.org/10.5281/zenodo.12784761; https://doi.org/10.5281/zenodo.15120736
The APOE isoforms differentially shape the transcriptomic and epigenomic landscapes of human microglia in a xenotransplantation model of Alzheimer's Disease [ATAC-seq]	13	2	https://doi.org/10.5281/zenodo.15176132; https://doi.org/10.5281/zenodo.15202660
The Single-cell transcriptomic analysis of Alzheimer's Disease Study	7	2	https://doi.org/10.5281/zenodo.19415048; https://doi.org/10.5281/zenodo.21122230
Critical Path For Alzheimer's Disease Database	9	1	https://doi.org/10.1021/acs.inorgchem.5c05810
The Mayo Clinic Study of Aging (MCSA)	50	1	https://doi.org/10.5061/dryad.612jm64j4
Mayo Clinic Study of Aging	62	1	https://doi.org/10.5061/dryad.612jm64j4
Mayo Clinic Study of Aging Clinical + PET Data (Global Neuroimaging Phenotyping Center)	16	1	https://doi.org/10.5061/dryad.612jm64j4
Mayo Clinic Study of Aging Clinical + PET Data	49	1	https://doi.org/10.5061/dryad.612jm64j4
The Global Alzheimer's Association Interactive Network	31	1	https://doi.org/10.1016/j.tjpad.2026.100600
Alzheimer's Disease Neuroimaging Initiative	41	1	https://doi.org/10.3389/fnagi.2026.1875646/full#supplementary-material
Alzheimer's Disease Sequencing Project	45	1	https://doi.org/10.5281/zenodo.18324799
AD Workbench Catalog	10	1	https://doi.org/10.5281/zenodo.10808658
European Prevention of Alzheimer's Dementia Consortium	27	1	https://doi.org/10.17035/d.2023.0263728184
Washington University Knight Alzheimer's Disease Research Center Memory and Aging Project Phenotypic and Proteomic Data	25	1	https://doi.org/10.5281/zenodo.14783317
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	32	1	https://doi.org/10.1186/s13195-026-02080-x
The Structural Variation xQTL Study (SV_xQTL)	10	1	https://doi.org/10.5281/zenodo.13937572
The Mayo Clinic Late-Onset Alzheimer's Disease Genome-Wide Association and Brain Gene Expression Study	32	1	https://doi.org/10.5281/zenodo.15198638
De Novo Parkinson's Disease Study	16	1	https://doi.org/10.6069/p9cy-h335
Harvard Biomarker Study	26	1	https://doi.org/10.5281/zenodo.14705134
Baltimore Longitudinal Study of Aging	61	1	https://doi.org/10.5281/zenodo.19503228
Amyloid Imaging to Prevent Alzheimer's Disease Study	17	1	https://doi.org/10.5281/zenodo.10808658
The Religious Orders Study and Memory and Aging Project Cell Type Specific Histone Acetylation in Alzheimer's Disease Study	12	1	https://doi.org/10.5281/zenodo.7818443
Brain Health Registry	20	1	https://doi.org/10.1016/j.psycom.2025.100215
The Columbia University Irving Medical Center 2 Multiome Single Nucleus RNA-Sequencing and Single Nucleus Assay for Transposase-Accessible Chromatin Study	7	1	https://doi.org/10.5281/zenodo.8287248
The Tulsa-1000 LIBR Study (AGMP_TULSA_1000_LIBR)	8	1	https://doi.org/10.1038/s41380-026-03530-6
Global Neurodegeneration Proteomics Consortium	34	1	https://doi.org/10.5281/zenodo.18634555
AD-linked R47H-TREM2 mutation induces disease-enhancing microglial states via AKT hyperactivation	3	1	https://doi.org/10.5281/zenodo.20509420
The RNAseq Harmonization Study	13	1	https://doi.org/10.5281/zenodo.20851582
Aberdeen Children of the 1950s	8	1	https://doi.org/10.7488/8f68f1ae-0329-4b73-b189-c7288ea844d7
The Airwave Health Monitoring Study	13	1	https://doi.org/10.14469/hpc/6945
Human iPSC Astrocytes and iMGL Transcripts - MAPT IVS10+16 Mutation Study	5	1	https://doi.org/10.1038/s41380-025-03073-2
Banner Alzheimer's Prevention Initiative	10	1	https://doi.org/10.1038/s41467-023-40775-z
A reference induced pluripotent stem cell line for large-scale collaborative studies	18	1	https://doi.org/10.17632/n4mccs2zfg.2
Moorfields Eye Hospital Dementia Dataset	7	1	https://doi.org/10.5281/zenodo.18815076
Mis-spliced transcripts generate de novo proteins in TDP-43-related Amyotrophic Lateral Sclerosis/Frontotemporal Dementia	6	1	https://doi.org/10.5281/zenodo.10479046
The Diverse Cohorts Harmonization Study	2	1	https://doi.org/10.7303/9618093
EEG recordings from: Alzheimer's Disease, Frontotemporal dementia and Healthy subjects	18	1	https://doi.org/10.5281/zenodo.17639457
CSF Proteomic Subtypes in AD	5	1	https://doi.org/10.58085/HR6S-2991
Whitehall II Study	19	1	https://doi.org/10.5281/zenodo.17417859
The Caerphilly Prospective Study	7	1	https://doi.org/10.17605/OSF.IO/ZHG8B
Neurite and whole cell transcriptomics on iNeurons	5	1	https://doi.org/10.17632/ycb9n7gv8f.1
Blood based 12-miRNA signature of Alzheimer patients	2	1	https://doi.org/10.5281/zenodo.8385733
Blood-based microRNA Biomarkers GSE46579	1	1	https://doi.org/10.5281/zenodo.8385733
Scottish Medical Imaging Research Dataset	4	1	https://doi.org/10.3390/vetsci13050459/s1
The hiPSC Neurons and NPCs study	10	1	https://doi.org/10.15154/8dm1-f069
