Resource Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Content_For_Analysis	Biomedical Relevance	Code Summary	Data Types	Tooling
Harvard Biomarker Study	HBS	Parkinson's Disease; Prodromal Parkinson's Disease; Normal Controls	https://github.com/brainrot02back/brainrot02back	brainrot02back	brainrot02back			"NO. This repository is a personal GitHub profile page for a developer who focuses on game cheats and malware development. Despite the username containing ""brainrot,"" this is internet slang and has no connection to biomedical research, neuroscience, brain imaging, or any healthcare applications. The repository is entirely unrelated to biomedical or clinical research."	This is a GitHub profile README page that serves as a personal introduction and portfolio showcase for a developer. The page displays GitHub statistics, programming language usage, and describes the owner's interests in game cheat development and malware research. It is not a functional code repository but rather a profile presentation page.	Not specified in the available repository information.	- GitHub (version control and profile hosting) - GitHub README Stats (for displaying statistics) - GitHub Streak Stats (for displaying contribution streaks) - Skillicons (for displaying technology icons) - Programming languages mentioned: C++, C#, Python, Rust - Platforms: Linux, Windows - Development tools: VS Code
Harvard Biomarker Study	HBS	Parkinson's Disease; Prodromal Parkinson's Disease; Normal Controls	https://github.com/BAICIL/HBS-AgeNet	BAICIL	javad-s-banner	Python		YES - This repository is highly biomedically relevant. It focuses on brain aging analysis using structural MRI scans, was developed at the Banner Alzheimer's Institute, and was evaluated on datasets including ADNI (Alzheimer's Disease Neuroimaging Initiative) and NACC (National Alzheimer's Coordinating Center). The tool predicts chronological age from brain imaging, which is directly applicable to neurodegenerative disease research and neurological condition assessment.	HBS-AgeNet is a deep learning framework that predicts chronological age from 3D T1-weighted structural MRI scans using three separate ResNet-18-style CNN models trained on complementary anatomical inputs: head images (HeadAge), brain-only images (BrainAge), and skull-only images (SkullAge). The models were trained on five public datasets (N=7,932) and evaluated on ADNI and private APOE datasets (N=13,107 total), with preprocessing performed using FreeSurfer 7 to extract the appropriate anatomical components.	- 3D T1-weighted structural MRI scans - FreeSurfer outputs (nu.mgz, brain.mgz) - Neuroimaging data formats: NIfTI (.nii, .nii.gz), MGZ (.mgz), NumPy (.np) - Clinical/demographic data: chronological age - Datasets: ABIDE, ICBM, IXI, NACC, OASIS, ADNI, APOE 1.0 & 2.0	- Python 3.11 - FreeSurfer 7 (neuroimaging preprocessing) - Deep learning: ResNet-18 architecture (CNNs) - Standard Python packages (implied from setup.py and requirements.txt) - CSV file handling for input lists - Multiple neuroimaging file format support (NIfTI, MGZ, NumPy)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/BenoitFaure/MedGemma_DeepMind	BenoitFaure	BenoitFaure; Mzoughh; NueveCuatro	HTML		YES - This repository is highly biomedically relevant. It focuses on Alzheimer's disease treatment monitoring, specifically tracking Amyloid-Related Imaging Abnormalities with edema (ARIA-E) in patients undergoing anti-amyloid therapy. The project involves brain MRI analysis, neurological clinical decision support, and neurodegenerative disease management.	GemmARIA is an AI-powered clinical decision support system for neurologists monitoring Alzheimer's patients on anti-amyloid therapy. The system uses nnU-Net for automated segmentation of brain edema from FLAIR MRI scans, generates longitudinal comparative reports using fine-tuned MedGemma models, and provides a RAG-powered chatbot for accessing the latest ARIA-E research. The integrated workflow helps clinicians assess treatment continuation by tracking edema evolution over time.	- FLAIR MRI scans (brain imaging) - MRI segmentation masks - Clinical reports - Scientific literature/research papers on ARIA and anti-amyloid therapies - Vector embeddings for RAG knowledge base	- nnU-Net (medical image segmentation) - MedGemma-4b and MedGemma-27b (Google's medical LLMs) - Gemini API - Google Cloud Platform (GCS, Vertex AI, Artifact Registry) - FastAPI (backend) - Next.js (frontend) - Python - Node.js/npm/yarn - Docker - Hugging Face (model hosting) - RAG (Retrieval-Augmented Generation) system - Vector database for embeddings
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	chandrasekarnarayana	chandrasekarnarayana	Jupyter Notebook		YES. This repository is directly relevant to biomedical research as it focuses on analyzing yeast cell models used to study neurodegenerative diseases including Alzheimer's disease, Parkinson's disease, and Huntington's disease. The project specifically addresses protein aggregation detection, which is a key pathological feature in these neurological conditions, using fluorescence imaging analysis.	This code performs automated image processing on fluorescence microscopy images of yeast cells to detect cell walls and identify protein aggregation hotspots. The project uses OpenCV library to post-process fluorescence images and localize protein bundling sites within cells, which are indicators of amyloidosis associated with neurodegenerative diseases.	- Fluorescence microscopy images - Optical microscopy images - Electron microscopy images (mentioned as experimental technique)	- OpenCV (image processing library) - Python (implied by OpenCV usage) - Fluorescence imaging modality
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ankitganeshpurkar/AlzLeads	ankitganeshpurkar	ankitganeshpurkar	Python		YES - This repository is directly related to Alzheimer's disease, a neurodegenerative condition. It is a web application designed to predict inhibitors for Alzheimer's disease, which falls under healthcare applications for neurological conditions and drug discovery for neurodegenerative diseases.	This is a web application built to predict potential inhibitors for Alzheimer's disease treatment. The application uses machine learning models to analyze chemical compounds and predict their potential as therapeutic inhibitors, likely using molecular descriptors and cheminformatics approaches.	Chemical/molecular data (implied by the use of RDKit for cheminformatics), likely including molecular structures, SMILES strings, and molecular descriptors for drug compounds.	- Streamlit (web application framework) - RDKit (cheminformatics and molecular modeling) - scikit-learn (machine learning) - pandas (data manipulation) - NumPy (numerical computing) - SciPy (scientific computing) - joblib (model serialization)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/MyronFernandes/Alzheimer-s-MRI-Image-Classification-Model	MyronFernandes	MyronFernandes; myronfds	Jupyter Notebook		YES - This repository is directly biomedically relevant as it focuses on Alzheimer's disease, a neurodegenerative disorder. The project specifically involves developing a deep learning model for classifying MRI brain images to predict and detect Alzheimer's disease stages, which falls squarely within neuroimaging and medical data analysis for brain disorders.	This repository contains a deep learning model for classifying MRI brain images to predict Alzheimer's disease stages. The project implements a custom convolutional neural network (CNN) that outperformed other approaches, using early stopping techniques to prevent overfitting. The model classifies images into different dementia severity categories, though it faced challenges with imbalanced data, particularly a lack of 'Moderate Demented' images.	- MRI (Magnetic Resonance Imaging) brain images - Image data classified into dementia severity categories (including 'Moderate Demented' and other stages)	Based on the repository description, the following tools are used: - Deep learning/Convolutional Neural Networks (CNNs) - Early stopping technique for model optimization - Image augmentation (considered but not implemented due to risk of altering disease classification) Note: Specific frameworks (likely TensorFlow, Keras, or PyTorch) are not explicitly mentioned in the available repository content but would typically be used for such CNN implementations.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/rf2485/eoad_wmh	rf2485	rf2485			YES - This repository is directly related to Alzheimer's Disease research, specifically analyzing white matter abnormalities in early onset Alzheimer's Disease (EOAD) patients. It involves brain imaging analysis (white matter hyperintensities) and clinical neurological data from the LEADS cohort, making it highly relevant to neurodegenerative disease research.	This repository contains R code for analyzing white matter abnormalities (hyperintensities) in early onset Alzheimer's Disease patients from the LEADS cohort. The analysis was prepared for an AAIC 2020 poster presentation examining the relationship between white matter changes and early onset AD.	White matter hyperintensities (WMH) imaging data, early onset Alzheimer's Disease clinical data from the LEADS cohort. Specific imaging modality (likely MRI) is implied but not explicitly stated in the available information.	R programming language
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Rupashi9/In-Silico-Screening-Hyperoside-AD	Rupashi9	Rupashi9			YES - This repository is directly relevant to biomedical research on Alzheimer's Disease (AD), a neurodegenerative disorder. It focuses on computational drug discovery targeting key AD-related proteins (BACE1 and MAO-B) through in-silico screening of phytochemical compounds, including ADMET profiling for blood-brain barrier permeability and pharmacokinetic properties relevant to neurological treatment.	This repository contains computational methods and data for identifying potential multi-target directed ligands (MTDLs) for Alzheimer's Disease treatment through reverse pharmacology screening of 48 Himalayan phytochemicals. The project uses molecular docking to evaluate binding affinities against key AD targets (BACE1 and MAO-B enzymes) and human serum albumin, identifying Hyperoside as a lead compound with superior binding characteristics and favorable ADMET properties.	- Protein structures (PDBQT files from PDB database: 1FKN for BACE1, 2V5Z for MAO-B, 1A06 for HSA) - Small molecule structures (48 phytochemical compounds in .sdf format) - Molecular docking results (binding affinities, interaction data) - ADMET profiles (pharmacokinetic and toxicity data) - 3D molecular interaction visualizations	- AutoDock Vina (molecular docking) - PyRx (docking interface) - PyMOL (molecular visualization) - Discovery Studio (interaction mapping) - SwissADME (ADMET profiling and pharmacokinetic prediction) - PDB (Protein Data Bank for structure retrieval)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Shalimar01/Health-Benefits-of-Red-Chilli-Powder-Shalimars.com	Shalimar01	Shalimar01			YES - While this repository is primarily a marketing/informational document about red chilli powder, it does discuss biomedical relevance including cognitive performance enhancement, reduction of Alzheimer's disease risk, anti-inflammatory properties, and various health benefits related to neurological function. However, it should be noted that this appears to be promotional content for a spice company rather than a research project or clinical application.	This is not a code repository. It is a README-only repository containing marketing content describing the health benefits of red chilli powder from Shalimars.com. There is no software, analysis tools, or programming code present in this repository.	Not specified in the available repository information.	No programming tools, packages, or frameworks are present. This is a text-only marketing document.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Akshaybhat5/Parkinson-s-disease-predictor	Akshaybhat5	Akshaybhat5	Jupyter Notebook		YES - This repository is directly biomedically relevant as it focuses on Parkinson's disease, a neurodegenerative brain disorder. The project involves building a predictor/classifier for Parkinson's disease, which falls under medical data analysis for neurological conditions.	This repository contains a machine learning model for predicting Parkinson's disease. The project includes data preprocessing, cleaning, outlier analysis, and VIF (Variance Inflation Factor) analysis in a Jupyter notebook, with the final trained model saved as a joblib file for deployment.	"Not specified in the available repository information. The README mentions ""raw data"" that was cleaned and preprocessed but does not specify the exact data modality (e.g., clinical measurements, voice recordings, motor assessments, etc.)."	- Jupyter Notebook - Python - joblib (for model serialization and deployment)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Srishtichauhan5359/Parkinson-s-Disease-Detection	Srishtichauhan5359	Srishtichauhan5359	Jupyter Notebook		YES - This repository is directly focused on Parkinson's Disease (PD), a neurodegenerative movement disorder. The project aims to develop early detection methods for PD using speech pattern recognition and machine learning to classify and predict disease severity, which is highly relevant to neurological healthcare applications.	This project implements machine learning models for early detection and severity prediction of Parkinson's Disease using speech-related datasets. The approach leverages vocal dysfunction patterns that can appear up to 5 years before traditional clinical diagnosis, focusing on speech characteristics like volume, pitch range, tongue flexibility, and pause duration to identify PD patients.	Speech-related data (vocal recordings/features including volume, pitch range, tongue flexibility, pause duration, and other speech pattern characteristics)	Not specified in the available repository information.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/JKBehnke/Beta_profile	JKBehnke	JKBehnke	Jupyter Notebook		YES - This repository is directly relevant to biomedical research as it focuses on Parkinson's disease, a neurodegenerative disorder. It analyzes local field potential (LFP) recordings from deep brain stimulation (DBS) devices to characterize subthalamic beta oscillations, which are pathological neural signatures in Parkinson's disease used for clinical programming and treatment optimization.	This code provides tools for analyzing and visualizing local field potential (LFP) data recorded from chronically implanted deep brain stimulation devices in Parkinson's disease patients. It processes multi-channel recordings from directional DBS leads to extract and rank beta-band power spectra across different recording sites, supporting clinicians in optimizing DBS programming parameters for individual patients.	- Local Field Potentials (LFP) - electrophysiological recordings - Power spectral data (beta frequency band oscillations) - Multi-channel neural recordings (15 LFP channels, 20-second duration recordings) - Data from Medtronic Percept PC sensing-enabled DBS devices with SenSight directional leads	- PyPerceive (GitHub repository for Percept data processing) - Medtronic Percept PC device and BrainSense Survey modality - Python (implied from PyPerceive dependency) - Microsoft OneDrive/Teams (for data storage and access)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ashu979/FAll_DETECTION	ashu979	ashu979	Jupyter Notebook		YES - This repository is biomedically relevant as it directly addresses fall detection in elderly people with neurodegenerative disorders, specifically mentioning Parkinson's disease. Falls are a significant clinical concern for patients with neurological conditions, and this project aims to develop a machine learning solution to detect falls, which has clear applications in healthcare monitoring and patient safety for individuals with brain disorders.	This project implements a machine learning framework for detecting falls in elderly people, particularly those with Parkinson's disease and other neurodegenerative disorders. The code uses the publicly available SisFall dataset and compares multiple machine learning algorithms including Decision Tree, Random Forest, Grid Search Ensemble, Extra Tree Ensemble, ADA Boost, and XG Boost to classify fall events. The implementation includes data cleaning, outlier removal, feature extraction, and model evaluation to identify the most effective approach for fall detection.	Accelerometer/sensor data from the SisFall dataset (publicly available fall detection dataset containing motion sensor recordings)	- Decision Tree Classifier - Random Forest Classifier - Grid Search Ensemble - Extra Tree Ensemble - ADA Boost Classifier - XG Boost Classifier - SisFall dataset (publicly available fall detection dataset) - Standard machine learning preprocessing tools (data cleaning, outlier removal, train-test splitting)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Tanaybalraj/Eye-blink-to-speech	Tanaybalraj	Tanaybalraj	Python		YES - This repository is biomedically relevant as it directly addresses Motor Neuron Disease (MND), a neurodegenerative condition that includes diseases like ALS. The project develops an assistive communication system for patients with neurological conditions who have lost motor control and speech capabilities due to muscle weakness and paralysis.	This system provides an assistive communication tool for Motor Neuron Disease patients by detecting and interpreting eye blinks and eye movements to convert them into speech output. The application uses computer vision techniques to capture video frames, detect faces and eyes, differentiate between intentional long blinks and normal blinks, and track eyeball movements to translate specific blink patterns into text and voice output for communication.	- Video/camera frames (real-time visual input) - Eye tracking data (eye blink patterns and eyeball movement) - Image data (facial and eye region detection)	- Computer vision frameworks (for face and eye detection) - AdaBoost Classifier (for eye region detection) - Face Detection Algorithm - Eye blink detection algorithms - Text-to-speech conversion system - Video capture/camera interface
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/mehdi4027/Solar-Gold-smart-safe-	mehdi4027				"NO. This repository is not biomedically relevant. It appears to be a manifesto claiming authorship of Bitcoin by someone identifying themselves as Satoshi Nakamoto, discussing cryptocurrency, digital currency trading, and financial systems. While there is a brief mention of ""coronary heart disease epidemic"" and ""investing in medical and scientific subjects,"" these are tangential references within a broader cryptocurrency context and do not involve any actual biomedical research, neuroscience, brain imaging, or healthcare applications."	"Based on the README content, there is no actual code present or described in this repository. The repository consists entirely of a lengthy text document making claims about Bitcoin's creation and proposing a ""virtual safe deposit box"" concept for cryptocurrency trading and exchange, but no implementation details, algorithms, or technical specifications are provided."	Not specified in the available repository information.	Not specified in the available repository information. No programming languages, frameworks, packages, or technical tools are mentioned in the README.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/mehdi4027/satoshi-Nakomoto	mehdi4027				"NO. This repository is not biomedically relevant. Despite a brief mention of ""coronary heart disease epidemic,"" this is a cryptocurrency/Bitcoin-related project focused on financial systems and economic transparency. It does not involve neurodegenerative diseases, brain imaging, medical data analysis, bioinformatics, or healthcare applications for neurological conditions."	"This repository appears to be a philosophical/manifesto document about cryptocurrency and Bitcoin rather than a functional code repository. The author claims to be Satoshi Nakamoto and discusses the creation and purpose of cryptocurrency as a financial system aimed at economic transparency and banking stability, with mentions of creating ""Bitcoin financial insurance"" during global crises."	Not specified in the available repository information.	Not specified in the available repository information. No code, packages, frameworks, or technical tools are mentioned in the README.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/vineethsaivs/Brain-Tumor-Detection-using-Deep-Learning	vineethsaivs	vineethsaivs	CSS		YES - This repository is directly biomedically relevant as it focuses on brain tumor detection using medical imaging data. It specifically addresses the diagnosis of brain tumors (a neurological condition) through analysis of MRI scans, which is a critical application in clinical neuroscience and healthcare for neurological disorders.	This project implements a deep learning system for automated brain tumor detection from MRI images using a custom Convolutional Neural Network (CNN). The system includes comprehensive image preprocessing (multiple filtering techniques), segmentation methods (threshold-based, morphology-based, and CNN-based), and feature extraction techniques (edge detection methods and Histogram of Oriented Gradients) to identify abnormal tissue growth in the brain and assist radiologists in making faster diagnostic decisions.	- MRI (Magnetic Resonance Imaging) scans - Medical brain images	- Deep Learning: Convolutional Neural Network (CNN) - Image Processing Filters: Mean, Median, Wiener, Hybrid, Modified Hybrid Median, Morphology-based denoising - Segmentation Methods: Threshold segmentation, Morphology-based segmentation - Feature Extraction: Edge detection (Prewitt, Robert, Sobel operators), Histogram of Oriented Gradient (HOG) - Imaging Modality: Magnetic Resonance Imaging (MRI)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Franchglobal2/6-Ways-To-Be-Fit-And-Strengthen-Your-Immune-System-	Franchglobal2	Franchglobal2			NO. This repository is not biomedically relevant for research purposes. It is a general health and wellness informational content repository that provides lifestyle advice about immune system health, sleep, and omega-3 supplements. While it mentions health topics, it does not contain any research code, data analysis tools, or scientific methods related to neurodegenerative diseases, brain imaging, clinical data analysis, or bioinformatics.	This is not a code repository. It contains only a README file with general health advice and marketing content about strengthening the immune system through lifestyle changes such as better sleep, prebiotics, stress management, and omega-3 fatty acid supplementation. The content appears to be promotional material for a supplement product (OG-3 Veg Softgels) rather than a software or research project.	Not specified in the available repository information.	No programming tools, packages, or frameworks are present in this repository.
