Resource Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Content_For_Analysis	Biomedical Relevance	Code Summary	Data Types	Tooling
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/BorgwardtLab/ADNI_3DCNNvsTDA	BorgwardtLab	sbrueningk	Python		YES - This repository is directly focused on Alzheimer's Disease classification using brain imaging data from the ADNI (Alzheimer's Disease Neuroimaging Initiative) database, which is a major biomedical research initiative for neurodegenerative disease study.	This repository contains machine learning model implementations for Alzheimer's Disease classification that compare 3D Convolutional Neural Networks (CNNs) with Topological Data Analysis (TDA) approaches. The code includes models for analyzing different brain regions (hippocampus, patches, full inner brain) and combines multiple modeling approaches including CNNs, Graph Neural Networks (GNN), and Logistic Regression to classify Alzheimer's Disease from neuroimaging data.	3D brain imaging data (likely MRI), hippocampus images, brain image patches, full inner brain images, persistence images from topological data analysis, clinical data from ADNI database.	3D CNNs, 2D CNNs, Topological Data Analysis (TDA), Graph Neural Networks (GNN), Logistic Regression, dense neural network models, ADNI database.
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/yingjiegaryzhou/ADNI3_TauPET_TDA	yingjiegaryzhou	yingjiegaryzhou	R		YES - This repository is directly related to Alzheimer's disease research, analyzing tau PET brain scans from the ADNI3 (Alzheimer's Disease Neuroimaging Initiative) dataset. It focuses on texture analysis of neuroimaging data to study tau protein deposits, which are a key biomarker in Alzheimer's disease and other neurodegenerative conditions.	This code implements a pipeline for analyzing tau PET brain scans using the Smooth Euler Characteristic Transform (SECT) method combined with Structured Functional Principal Component Analysis (SFPCA). The workflow processes ADNI3 baseline tau PET scans through preprocessing, ROI extraction, texture analysis, and statistical modeling to extract meaningful patterns from neuroimaging data.	Tau PET scans, MRI data, clinical data, diagnosis files, neuroimaging data from ADNI3 dataset	R programming language, SECT (Smooth Euler Characteristic Transform) algorithm, SFPCA (Structured Functional Principal Component Analysis), topological data analysis methods, image processing tools for neuroimaging data
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/H-Snoussi/ADNI3-Blueprints	H-Snoussi	H-Snoussi	Shell		YES - This repository is directly related to Alzheimer's disease research, specifically processing brain imaging data from the ADNI3 (Alzheimer's Disease Neuroimaging Initiative) study to analyze brain connectivity and perform tractography analysis.	This code provides a pipeline for processing diffusion MRI data from the ADNI3 Alzheimer's disease study to generate brain connectivity blueprints and perform tractography analysis. The pipeline includes preprocessing and processing steps for both T1-weighted and diffusion MRI data to study brain connectivity patterns in the context of Alzheimer's disease research.	- T1-weighted MRI data - Diffusion MRI data - bvecs (diffusion gradient directions) - bvals (b-values for diffusion weighting)	Not specified in the available repository information.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/bmcastrow/AmyloidbetaA4-pIC50-prediction	bmcastrow	bmcastrow	Jupyter Notebook		YES. This repository is directly focused on Alzheimer's disease research, specifically predicting the inhibitory concentration (pIC50) of chemical compounds against Amyloid-beta A4 protein. The project aims to identify potential therapeutic compounds that could inhibit amyloid-beta production or aggregation, which is a key pathological hallmark of Alzheimer's disease.	This project develops machine learning and deep learning pipelines to predict pIC50 values (inhibitory concentrations) of chemical compounds against Amyloid-beta A4 protein for Alzheimer's drug discovery. The code uses molecular fingerprints and chemical descriptors as features for tree-based regressors optimized with Optuna, and includes a deep learning approach using ChemBERTa with LoRA fine-tuning on SMILES molecular representations.	Chemical compound data from ChEMBL database, molecular fingerprints generated with PaDEL-Descriptor, chemical descriptors (Lipinski descriptors) calculated using RDKit, SMILES molecular representations, and pIC50 bioactivity values.	ChEMBL database, RDKit, PaDEL-Descriptor, Optuna, MLflow, Hugging Face ChemBERTa, LoRA (Low-Rank Adaptation), tree-based regressors, Python 3.8.19, Conda/miniconda, Git.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/AAA-lab-genetic/Multiancestry_LRRK2_p.A419V	AAA-lab-genetic	LimKaiShi	Jupyter Notebook		YES - This repository is directly focused on Parkinson's disease research, specifically analyzing the LRRK2 p.A419V genetic variant as a risk factor for Parkinson's disease across multiple ancestries, with particular emphasis on East Asian populations and its influence on age of onset.	This code analyzes genetic data from multiple large-scale datasets (GP2, AMP-PD, All of Us) to investigate the LRRK2 p.A419V variant's association with Parkinson's disease risk and age of onset across different ancestral populations. The analysis includes variant analysis, haplotype analysis, and age-of-onset comparisons between carriers and non-carriers of this genetic variant.	Genomic/genetic data (genotyping and whole-genome sequencing data), clinical data (age of onset for Parkinson's disease), population ancestry data, haplotype data	Python (pandas, numpy, seaborn, matplotlib, statsmodel, rpy2), R (tidyverse, dplyr, tidyr, ggplot2, car, cowplot, grid, RColorBrewer, forestmodel, survival), PLINK (versions 1.9 and 2.0), GenoTools (v1.0.0), Jupyter notebooks, bash
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/RoxanneWAAANG/A4-Unet	RoxanneWAAANG	JenDuu; RoxanneWAAANG	Python		YES. This repository is directly focused on brain tumor segmentation using MRI data, which is a core biomedical application. It specifically addresses neurodegenerative and brain disorder analysis through medical imaging, achieving state-of-the-art results on the BraTS 2020 dataset for brain tumor detection and segmentation.	A4-Unet is a deep learning architecture for brain tumor segmentation that combines four advanced components: Deformable Large Kernel Attention (DLKA), Swin Spatial Pyramid Pooling (SSPP), Combined Attention Module (CAM), and Attention Gates (AG). The system processes multi-modal MRI scans to automatically segment brain tumors, achieving 94.4% Dice score on the BraTS 2020 dataset. The architecture addresses challenges in medical image segmentation including irregular tumor shapes, unclear boundaries, and multi-scale feature extraction.	- MRI scans (T1-weighted, T1-contrast enhanced, T2-weighted, FLAIR sequences) - Brain tumor segmentation masks - Medical imaging data from BraTS 2020/2021 datasets - ISIC skin lesion data - Hippocampus segmentation data	- PyTorch (deep learning framework) - Python 3.8+ - Swin Transformer - Deformable convolutions - DCT (Discrete Cosine Transform) - Mixed precision training (AMP) - AdamW optimizer - Learning rate scheduling - Medical image processing utilities (likely nibabel for .nii.gz files) - Jupyter notebooks for visualization
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/menglutao/Motor-imagery-classification-from-EEG-for-brain-computer-interface	menglutao	DiegoZanutti; menglutao	Jupyter Notebook		YES - This repository is biomedically relevant as it focuses on motor imagery classification from EEG signals for brain-computer interfaces (BCIs). This directly relates to neuroscience research and has applications in healthcare for neurological conditions, particularly for developing assistive technologies for individuals with motor impairments or paralysis.	This project develops algorithms to classify motor imagery data from electroencephalogram (EEG) signals for brain-computer interface applications. The goal is to accurately interpret EEG signals generated when individuals imagine physical movements and use these interpreted signals to control external devices or interfaces.	EEG (electroencephalogram) signals, motor imagery data	Python 3.8, pyenv (Python version management), pip (package management), Git (version control), virtual environments
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/allengaller/a4c-rocky-club	allengaller	allengaller			"NO - Based on the limited repository information available, this appears to be a general project called ""Rocky Club"" described as ""Brain Storm and Build"" which seems to refer to brainstorming and building activities rather than biomedical research. There is no clear indication of neuroscience, medical applications, or brain-related research."	"The repository appears to be a project called ""Rocky Club"" with a focus on brainstorming and building activities. However, with only a basic README containing minimal information, the specific functionality and purpose of the code cannot be determined from the available content."	Not specified in the available repository information.	Not specified in the available repository information.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/henrymasterlof/brainpill-a41e75f3-ind	henrymasterlof	henrymasterlof			"NO - This repository is not biomedically relevant. It appears to be a marketing/promotional website for a brain supplement product called ""BrainPill"" rather than a scientific research project. The content is commercial advertising material in Indonesian language promoting a dietary supplement, not actual biomedical research, clinical analysis, or neuroscience code."	"This repository contains marketing content for a brain supplement product called ""BrainPill"" written in Indonesian. The content consists of promotional text describing the supplement's claimed benefits for memory, focus, and mental performance, along with testimonials and purchase links."	Not specified in the available repository information.	Not specified in the available repository information.
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/akinyeraakintunde/Data-Validation-with-Python-	akinyeraakintunde	akinyeraakintunde	Jupyter Notebook		YES - This repository is directly focused on Alzheimer's disease and cognitive impairment classification. It performs exploratory data analysis and builds machine learning models to predict cognitive impairment by distinguishing between Healthy Controls (HC) and Non-Healthy individuals (MCI + Alzheimer's Disease) using clinical and neuropsychological data from the AIBL (Australian Imaging, Biomarker & Lifestyle) study.	This code merges multiple clinical datasets from the AIBL study to create a comprehensive dataset for predicting cognitive impairment. It performs data cleaning, exploratory data analysis, feature selection, and trains baseline machine learning models (LightGBM and RandomForest) to classify patients as either Healthy Controls or cognitively impaired (MCI/Alzheimer's). The project includes data validation, visualization of clinical variables, and model evaluation using ROC AUC and classification metrics.	Clinical data including APOE genetic data, Clinical Dementia Rating (CDR) scores, laboratory data, medical history, Mini-Mental State Examination (MMSE) scores, neuropsychological battery test results, diagnosis conversion data, and patient demographics. Memory test scores (immediate and delayed recall), cognitive assessment scores, and age-related variables are also included.	pandas, numpy, matplotlib, seaborn, scikit-learn, lightgbm, Python, Google Colab, pickle for model serialization, and standard data science libraries for preprocessing, visualization, and machine learning model development.
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN	xiaoxingxingkz	xiaoxingxingkz	Python		YES - This repository is directly related to Alzheimer's disease research, specifically focusing on decoding individualized brain atrophy patterns. It combines neuroimaging analysis with machine learning approaches to study neurodegenerative disease progression.	This project implements a Generative Adversarial Network (GAN) called BrainStatTrans-GAN designed to analyze and decode individualized brain atrophy patterns in Alzheimer's disease patients. The system appears to transfer brain status information to generate or predict atrophy patterns, likely for understanding disease progression or patient-specific neurodegeneration.	Brain imaging data (likely MRI or structural neuroimaging based on the atrophy analysis focus), though specific imaging modalities are not explicitly detailed in the available repository information.	Not specified in the available repository information (the README content provided is limited and doesn't include technical implementation details, dependencies, or framework specifications).
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN-MindSpore	xiaoxingxingkz	xiaoxingxingkz	Python		YES - This repository is directly related to Alzheimer's disease research, specifically focusing on decoding individualized brain atrophy patterns. It involves neuroimaging analysis and uses generative adversarial networks for brain status transfer, making it highly relevant to neurodegenerative disease research.	This code implements a Generative Adversarial Network (GAN) designed to transfer brain status and decode individualized atrophy patterns in Alzheimer's disease patients. The system appears to use deep learning techniques to analyze and visualize brain changes associated with Alzheimer's disease progression.	Brain imaging data (likely neuroimaging such as MRI based on the context of brain atrophy analysis in Alzheimer's disease)	MindSpore (deep learning framework), Generative Adversarial Networks (GANs)
Brain Health Registry	BHR	Alzheimer's Disease; Parkinson's Disease; Cognitive Decline; Normal Aging; Multiple Neurodegenerative Conditions	https://github.com/PathipakaSujita/bhr2	PathipakaSujita	PathipakaSujita	JavaScript		NO - Based on the available repository information, this appears to be a basic Node.js server application with minimal configuration. There is no indication of biomedical, neurological, or healthcare-related functionality in the code or documentation provided.	This is a minimal Node.js server application using Express.js framework. The repository contains only basic package configuration with a simple web server setup and no apparent specialized functionality implemented yet.	Not specified in the available repository information.	- Node.js (version 12.6.0) - npm (version 6.9.0) - Express.js (version 4.17.1)
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	llevitis	llevitis; dependabot[bot]	Jupyter Notebook		YES - This repository is directly related to Alzheimer's disease research, specifically focusing on epidemic spreading modeling of amyloid beta protein in the Dominantly Inherited Alzheimer's Network (DIAN) dataset. This falls squarely within neurodegenerative disease research and brain disorder analysis.	This project implements epidemic spreading models to analyze the propagation patterns of amyloid beta protein in Alzheimer's disease using data from the DIAN dataset. The code appears to model how amyloid beta spreads through brain networks in dominantly inherited Alzheimer's disease cases.	DIAN dataset (Dominantly Inherited Alzheimer's Network data) - specific modalities not clearly specified in the available repository information.	Git submodules for managing ESM (Epidemic Spreading Model) scripts and data dependencies.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	WheelockLab	cindyhfls	MATLAB		YES - This repository is clearly biomedically relevant as it focuses on the Dominantly Inherited Alzheimer Network (DIAN), which studies Alzheimer's disease. The repository appears to analyze hub disruption in functional connectivity, which is directly related to neurodegenerative disease research and brain imaging analysis.	Based on the available information, this repository contains code for analyzing hub disruption in functional connectivity data from the DIAN study. The code appears to process MRI data and calculate hub disruption indices (HDI) across different thresholds using z-scores, likely to study brain network changes in Alzheimer's disease.	MRI data, clinical/demographic covariates data, hub disruption indices (HDI) with z-scores	Not specified in the available repository information.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-app	scify	PavlosIsaris; dependabot[bot]	TypeScript		"YES - This repository is biomedically relevant as it is specifically designed for ""non-pharmaceutical activities for people with dementia."" Dementia is a neurodegenerative condition, and this mobile application appears to provide healthcare/therapeutic interventions for individuals with dementia."	Dianoia is an Ionic mobile application that provides non-pharmaceutical activities and interventions for people with dementia. The app is built using legacy Ionic 3/Cordova 8 technology stack and can be deployed as both a mobile app (Android) and web application, with error tracking capabilities for monitoring app performance.	Not specified in the available repository information.	- Ionic CLI (v6.11.11) - Cordova (v8.1.2) - Node.js (v14.21.1) - npm (v6.14.17) - Java 8 (OpenJDK 8) - Gradle (v4.10.3) - Android SDK/Android Studio - Firebase Analytics - GlitchTip (error tracking) - Cordova hooks - GitHub Pages deployment
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-Marketplace	scify	NikolasGialitsis; PavlosIsaris; stacksharebot; estafons	PHP		"YES - The repository is for the Dianoia Marketplace, which creates content for the Dianoia mobile app. ""Dianoia"" is a Greek term meaning ""thinking"" or ""intelligence,"" and given the context of a content marketplace for a mobile app with this name, it appears to be related to cognitive health, brain training, or neurological applications."	This is a Laravel 12 web application that serves as a content management system for creating and managing content for the Dianoia mobile app. The application provides a marketplace-style interface where content can be created, managed, and distributed to the associated mobile application.	Not specified in the available repository information.	PHP 8.0+, Laravel 12, Composer, Node.js, npm, Apache web server, MySQL/database, Spatie Laravel Sitemap plugin, Laravel Pint (code styling), Xdebug (debugging), Chrome Xdebug helper extension, PhpStorm/IntelliJ IDE support.
