Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/atri-biostats/ADNIMERGE2	atri-biostats	KedirHussen-atri; mcdonohue	R	YES - This repository is directly related to Alzheimer's disease research, which is a major neurodegenerative condition. It provides an R data package for the Alzheimer's Disease Neuroimaging Initiative (ADNI) study, which is a well-known longitudinal study focused on understanding Alzheimer's disease progression through various biomedical data collection methods.	ADNIMERGE2 is an R data package that provides access to datasets from the Alzheimer's Disease Neuroimaging Initiative (ADNI) study. The package serves as a data distribution mechanism for researchers who have been granted access through the LONI website and have accepted the ADNI Data Use Agreement.	Not specified in the available repository information. While this is an ADNI data package (which typically includes neuroimaging, clinical, cognitive, and biomarker data), the specific data types and modalities are not detailed in the provided README content.	- R programming language - R package development framework - LONI data sharing platform - Standard R package installation tools
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/myousefnezhad/adni202	myousefnezhad	myousefnezhad		YES - This repository is directly related to Alzheimer's Disease, a major neurodegenerative condition, and contains neural images (likely neuroimaging data) for research purposes. The associated publication focuses on clustering ensemble methods applied to what appears to be Alzheimer's disease data analysis.	Based on the limited information available, this repository contains neural imaging data from 202 subjects for Alzheimer's Disease research. The repository appears to be associated with research on clustering ensemble methods (WoCE framework) that applies wisdom of crowds theory to analyze this neurological data.	Neural images (neuroimaging data) from Alzheimer's Disease subjects. The specific imaging modality (MRI, PET, etc.) is not specified in the available repository information.	Not specified in the available repository information.
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/CarlosTheran/REU-ADNIC-2021	CarlosTheran	CarlosTheran		YES - This repository is directly biomedically relevant as it focuses on Alzheimer's disease, which is a major neurodegenerative disorder. The project involves machine learning classification of Alzheimer's stages, which is a core application in medical data analysis for brain disorders.	This repository contains a machine learning application specifically designed for classifying different stages of Alzheimer's disease. The project appears to be part of a Research Experience for Undergraduates (REU) program focused on Alzheimer's Disease Neuroimaging Initiative (ADNIC) research conducted in 2021.	Not specified in the available repository information.	Not specified in the available repository information.
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/BorgwardtLab/ADNI_3DCNNvsTDA	BorgwardtLab	sbrueningk	Python	YES - This repository is directly related to Alzheimer's Disease classification using brain imaging data from the ADNI database, which is a major biomedical research initiative focused on neurodegenerative disease research.	This repository contains machine learning models for Alzheimer's Disease classification that compare 3D Convolutional Neural Networks (CNNs) with Topological Data Analysis (TDA) approaches. The code implements various models including 3D CNNs for different brain regions (hippocampus, patches, full inner brain), TDA-based 2D CNNs using persistence images, and ensemble methods (GNN and logistic regression) to combine multiple approaches.	Brain imaging data (3D brain images, hippocampus images, brain patches), persistence images from topological data analysis, clinical data from ADNI database.	3D CNNs, 2D CNNs, Topological Data Analysis (TDA), Graph Neural Networks (GNN), Logistic Regression, ADNI database, persistence images processing tools.
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/yingjiegaryzhou/ADNI3_TauPET_TDA	yingjiegaryzhou	yingjiegaryzhou	R	YES - This repository is directly relevant to neurodegenerative disease research, specifically focusing on Alzheimer's disease through analysis of Tau PET scans from the ADNI3 (Alzheimer's Disease Neuroimaging Initiative) dataset. It involves neuroimaging analysis and clinical data processing for brain disorders.	This code implements texture analysis of Tau PET brain scans using the Smooth Euler Characteristic Transform (SECT) algorithm followed by Structured Functional Principal Component Analysis (SFPCA). The pipeline processes ADNI3 baseline Tau PET scans through preprocessing, ROI extraction, image conversion, topological analysis, and statistical modeling to analyze tau protein distribution patterns in brain regions like the hippocampus.	Tau PET scans, MRI data, clinical data, diagnosis files, neuroimaging data from ADNI3 dataset	R programming language, SECT (Smooth Euler Characteristic Transform) algorithm, SFPCA (Structured Functional Principal Component Analysis), topological data analysis methods, image processing tools for PNG conversion
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/H-Snoussi/ADNI3-Blueprints	H-Snoussi	H-Snoussi	Shell	YES - This repository is directly related to Alzheimer's disease research, specifically processing neuroimaging data from the ADNI3 (Alzheimer's Disease Neuroimaging Initiative) study to analyze brain connectivity and perform tractography analysis.	This code provides a pipeline for processing diffusion MRI data from the ADNI3 Alzheimer's disease study to generate brain connectivity blueprints and perform tractography analysis. The pipeline includes preprocessing and processing steps for both T1-weighted and diffusion MRI data to study brain connectivity patterns in the context of Alzheimer's disease research.	- T1-weighted MRI data - Diffusion MRI data - bvecs (diffusion gradient directions) - bvals (b-values for diffusion weighting)	Not specified in the available repository information.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/bmcastrow/AmyloidbetaA4-pIC50-prediction	bmcastrow	bmcastrow	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's disease research, specifically developing machine learning models to predict the inhibitory potency (pIC50) of chemical compounds against Amyloid-beta A4. This relates to neurodegenerative disease research and drug discovery for Alzheimer's treatment.	This project develops machine learning and deep learning pipelines to predict pIC50 values (inhibitory concentration) of chemical compounds against Amyloid-beta A4, a key target in Alzheimer's disease research. The code includes data exploration from the ChEMBL database, molecular descriptor calculation, traditional ML models with hyperparameter optimization, and a deep learning approach using ChemBERTa for drug discovery applications.	Chemical compound data from ChEMBL database, molecular fingerprints, SMILES (chemical structure representations), Lipinski descriptors, pIC50 values (bioactivity measurements)	RDKit, PaDEL-Descriptor, Optuna, MLflow, Hugging Face ChemBERTa, LoRA (Low-Rank Adaptation), tree-based regressors (HistGradientBoostingRegressor, RandomForestRegressor), Python, Conda/Miniconda
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/AAA-lab-genetic/Multiancestry_LRRK2_p.A419V	AAA-lab-genetic	LimKaiShi	Jupyter Notebook	YES - This repository is directly focused on Parkinson's disease research, specifically analyzing the LRRK2 p.A419V genetic variant as a risk factor for PD in East Asian populations and its influence on age of onset. This falls squarely within neurodegenerative disease research and clinical genomics for neurological conditions.	This code repository analyzes the LRRK2 p.A419V genetic variant's association with Parkinson's disease risk and age of onset across multiple ancestries, with particular focus on East Asian populations. The analysis includes variant analysis, haplotype analysis, and age-of-onset studies using genomic data from GP2, AMP-PD, and All of Us datasets.	Genomic/genetic data (genotyped and whole-genome sequencing data), clinical data (age of onset for Parkinson's disease), population ancestry data	Python (pandas, numpy, seaborn, matplotlib, statsmodel, rpy2), R (tidyverse, dplyr, tidyr, ggplot2, car, cowplot, grid, RColorBrewer, forestmodel, survival), PLINK (versions 1.9 and 2.0), GenoTools (v1.0.0), Jupyter notebooks
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/RoxanneWAAANG/A4-Unet	RoxanneWAAANG	JenDuu; RoxanneWAAANG	Python	YES. This repository is directly focused on brain tumor segmentation using MRI data, which is a core biomedical application for neurological conditions. The project specifically addresses brain tumor analysis using medical imaging data and achieves state-of-the-art results on the BraTS (Brain Tumor Segmentation) dataset.	A4-Unet is a deep learning architecture for brain tumor segmentation that combines four advanced components: Deformable Large Kernel Attention (DLKA), Swin Spatial Pyramid Pooling (SSPP), Combined Attention Module (CAM), and Attention Gates (AG). The model addresses challenges in MRI brain tumor segmentation including irregular tumor shapes and unclear boundaries, achieving 94.4% Dice score on the BraTS 2020 dataset.	MRI data including T1-weighted, T1-contrast enhanced, T2-weighted, and FLAIR sequences; segmentation masks; skin lesion data (ISIC dataset); hippocampus imaging data.	Python 3.8+, PyTorch 1.8+, Swin Transformer, deformable convolutions, DCT (Discrete Cosine Transform), attention mechanisms, mixed precision training (AMP), AdamW optimizer, Jupyter notebooks for visualization.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/menglutao/Motor-imagery-classification-from-EEG-for-brain-computer-interface	menglutao	DiegoZanutti; menglutao	Jupyter Notebook	YES - This repository is biomedically relevant as it focuses on motor imagery classification from EEG signals for brain-computer interfaces (BCIs). This directly relates to neuroscience research and has applications in healthcare for neurological conditions, particularly for developing assistive technologies for individuals with motor impairments or paralysis.	This project develops algorithms to classify motor imagery data from electroencephalogram (EEG) signals for brain-computer interface applications. The goal is to accurately interpret EEG signals generated when individuals imagine physical movements and use these interpreted signals to control external devices or interfaces.	EEG (electroencephalogram) signals, motor imagery data	Python 3.8, pyenv (Python version management), pip (package management), Git (version control), virtual environments
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/allengaller/a4c-rocky-club	allengaller	allengaller		"NO - Based on the extremely limited repository information provided, this appears to be a general project called ""Rocky Club"" with a tagline ""Brain Storm and Build"" which seems to refer to brainstorming/ideation rather than actual brain/neurological research. There is no clear indication of biomedical, neuroscience, or healthcare applications."	"The repository contains minimal information with only a basic README file that describes ""Rocky Club"" as a project for brainstorming and building. Without access to actual code files or detailed documentation, the specific purpose and functionality cannot be determined."	Not specified in the available repository information.	Not specified in the available repository information.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/henrymasterlof/brainpill-a41e75f3-ind	henrymasterlof	henrymasterlof		"NO. This repository is not biomedically relevant. It appears to be a marketing website or promotional content for ""BrainPill,"" a commercial brain supplement/nootropic product. The content is focused on selling a consumer supplement rather than conducting biomedical research, clinical analysis, or scientific study of neurological conditions."	"This repository contains marketing content for a commercial brain supplement called ""BrainPill"" written in Indonesian. The content consists of promotional text describing the product's claimed benefits for memory, focus, and cognitive function, along with testimonials and purchase links."	Not specified in the available repository information.	Not specified in the available repository information.
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/akinyeraakintunde/Data-Validation-with-Python-	akinyeraakintunde	akinyeraakintunde	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's disease and cognitive impairment classification using clinical data from the AIBL (Australian Imaging, Biomarkers and Lifestyle) study. It specifically aims to classify patients into Healthy Controls (HC) versus Non-Healthy Controls (MCI + Alzheimer's Disease) categories using various clinical assessments and biomarkers.	This project performs exploratory data analysis and builds baseline machine learning classifiers to predict cognitive impairment from merged AIBL clinical datasets. The code merges multiple CSV files containing patient data, performs data cleaning and feature selection, and trains LightGBM and RandomForest models to distinguish between healthy controls and patients with mild cognitive impairment or Alzheimer's disease.	Clinical assessment data including APOE genetic data, Clinical Dementia Rating (CDR) scores, laboratory data, medical history, Mini-Mental State Examination (MMSE) scores, neuropsychological battery tests, patient demographics, and diagnostic conversion data from the AIBL study.	pandas, numpy, matplotlib, seaborn, scikit-learn, lightgbm, Python (Jupyter notebooks/Google Colab environment)
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN	xiaoxingxingkz	xiaoxingxingkz	Python	YES - This repository is directly focused on Alzheimer's disease research, specifically developing a generative adversarial network (GAN) to decode individualized brain atrophy patterns in Alzheimer's patients. This clearly falls under neurodegenerative disease research and brain analysis applications.	This repository implements a Brain Status Transferring Generative Adversarial Network (BrainStatTrans-GAN) designed to analyze and decode individualized brain atrophy patterns in Alzheimer's disease patients. The GAN appears to be capable of transferring or modeling brain status changes to understand disease progression at the individual level.	Not specified in the available repository information.	Not specified in the available repository information.
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN-MindSpore	xiaoxingxingkz	xiaoxingxingkz	Python	YES - This repository is directly related to Alzheimer's disease research, specifically focusing on decoding individualized brain atrophy patterns. It combines neuroimaging analysis with machine learning approaches to study neurodegenerative processes in Alzheimer's disease.	This project implements a Generative Adversarial Network (GAN) called BrainStatTrans-GAN designed to analyze and transfer brain status information for understanding individualized atrophy patterns in Alzheimer's disease patients. The code uses MindSpore framework to develop deep learning models that can decode brain structural changes associated with Alzheimer's disease progression.	Brain imaging data (likely MRI based on the atrophy analysis focus), though specific imaging modalities are not explicitly detailed in the available repository information.	MindSpore (deep learning framework), Generative Adversarial Networks (GANs)
Brain Health Registry	BHR	Alzheimer's Disease; Parkinson's Disease; Cognitive Decline; Normal Aging; Multiple Neurodegenerative Conditions	https://github.com/PathipakaSujita/bhr2	PathipakaSujita	PathipakaSujita	JavaScript	NO - This appears to be a basic Node.js server application with minimal configuration. There is no indication of biomedical, neurological, or healthcare-related functionality based on the available repository information.	This is a minimal Node.js server application using Express.js framework. The repository contains only basic package configuration with a simple web server setup and no implemented functionality visible in the provided content.	Not specified in the available repository information.	- Node.js (version 12.6.0) - npm (version 6.9.0) - Express.js (version 4.17.1)
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	llevitis	llevitis; dependabot[bot]	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's disease research, specifically modeling the spread of amyloid beta protein in the brain using data from the Dominantly Inherited Alzheimer's Network (DIAN). This relates to neurodegenerative disease research and brain analysis.	This project implements epidemic spreading models to analyze how amyloid beta protein spreads through the brain in Alzheimer's disease patients. It uses data from the DIAN dataset, which studies families with genetic forms of Alzheimer's disease, to model the pathological progression of amyloid beta accumulation.	DIAN (Dominantly Inherited Alzheimer's Network) dataset - likely includes neuroimaging data and clinical measurements related to amyloid beta protein levels in the brain.	Git submodules for data and script management. Specific analysis tools and frameworks are not specified in the available repository information.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	WheelockLab	cindyhfls	MATLAB	YES - This repository is directly related to Alzheimer's disease research, specifically analyzing data from the Dominantly Inherited Alzheimer Network (DIAN). The focus on hub disruption and functional connectivity (FC) indicates neuroimaging analysis of brain networks in the context of Alzheimer's disease.	This repository appears to contain analysis code for studying hub disruption in functional connectivity networks using data from the DIAN study. The code likely processes MRI data to examine brain network alterations in individuals with dominantly inherited Alzheimer's disease, incorporating regression analyses with covariates and hub disruption indices.	MRI data, clinical/demographic covariates, hub disruption indices (HDI), and subject metadata from neuroimaging studies.	Not specified in the available repository information (only data file references are provided in the README).
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-app	scify	PavlosIsaris; dependabot[bot]	TypeScript	YES - This repository is biomedically relevant as it is specifically designed for people with dementia, providing non-pharmaceutical activities and interventions. Dementia is a neurodegenerative condition, and this mobile application appears to be a healthcare tool for supporting individuals with this neurological disorder.	Dianoia is an Ionic-based mobile application that provides non-pharmaceutical activities and interventions for people with dementia. The app is built using web technologies and can be deployed on Android devices as well as hosted as a web application, with support for multiple platforms and Firebase Analytics integration.	Not specified in the available repository information.	Ionic CLI, Cordova, Node.js, npm, Android SDK, Java, Gradle, Firebase Analytics, Android Studio, GitHub Pages, and various build tools including jarsigner, zipalign, and apksigner.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-Marketplace	scify	NikolasGialitsis; PavlosIsaris; stacksharebot; estafons	PHP	"YES - The repository is for the Dianoia Marketplace web application, which creates content for the Dianoia mobile app. ""Dianoia"" is a Greek term meaning ""thinking"" or ""intelligence,"" and given the context of a content management system for a mobile app with this name, it appears to be related to cognitive or neurological applications, making it biomedically relevant."	This is a Laravel 12 web application that serves as a content management system for creating and managing content for the Dianoia mobile app. The application provides a marketplace-style interface for content creation and distribution, with standard web application features including database management, user file uploads, and SEO optimization.	Not specified in the available repository information.	PHP 8.0+, Laravel 12 framework, Composer, Node.js, npm, MySQL/database, Apache web server, Spatie Laravel Sitemap plugin, Laravel Pint for code styling, Xdebug for debugging, and standard web technologies (HTML, CSS, JavaScript).
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	seowork321	seowork321		NO. This appears to be an educational website or content about basic human anatomy for children (Diana and Roma are popular children's YouTube characters), not a biomedical research repository. It provides general educational information about body organs rather than conducting medical/clinical analysis or research related to brain disorders or neuroscience.	Based on the limited content available, this appears to be a simple educational website or repository that provides basic information about human body organs including the brain, heart, lungs, liver, and stomach. The content seems designed for educational purposes, likely targeting children, explaining the basic functions of major body organs.	Not specified in the available repository information.	Not specified in the available repository information.
European Medical Information Framework for Alzheimer's Disease	EMIF-AD	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/UoE-Dementia-Genomics/EMIF_Biomarkers_Methylation	UoE-Dementia-Genomics	rgs212		YES - This repository is directly related to Alzheimer's disease research, investigating blood DNA methylation patterns associated with cerebrospinal fluid (CSF) biomarkers of Alzheimer's disease pathophysiology, neuroinflammation, and neurodegeneration in the EMIF-AD study.	This code performs an epigenome-wide association study (EWAS) analyzing DNA methylation patterns in blood samples from 885 participants to identify associations with 15 established CSF biomarkers of Alzheimer's disease. The analysis includes differential methylation analysis, co-localization studies, and weighted gene correlation network analysis to explore relationships between genetic variants, DNA methylation, and protein levels related to AD pathology.	DNA methylation data (EPIC array), cerebrospinal fluid (CSF) biomarker measurements, plasma protein levels, genetic variant data, clinical data from the EMIF-AD study cohort.	Not specified in the available repository information.
